item_id,order_id,product_id,quantity,unit_price,discount_percent
I073,O269,P124,7,47157.52,20
I074,O205,P331,7,30573.83,20
I075,O454,P458,7,12994.41,10
I076,O229,P106,9,20789.87,25
I077,O270,P011,8,14601.19,40
I078,O164,P040,6,11227.16,25
I079,O181,P451,4,272.88,20
I080,O495,P018,5,27232.39,15
I081,O217,P094,5,46519.11,30
I082,O499,P257,1,32681.03,25
I083,O314,P455,5,827.25,20
I084,O105,P330,3,6634.65,10
I085,O321,P079,8,8599.87,5
I086,O348,P439,3,37918.55,20
I087,O073,P334,3,25243.18,50
I088,O295,P416,2,28941.6,30
I089,O033,P107,8,23838.8,5
I090,O377,P430,4,16631.06,20
I091,O156,P423,3,37510.94,5
I092,O279,P417,9,5444.08,50
I093,O084,P214,5,19682.69,10
I094,O399,P238,6,35274.64,20
I095,O328,P049,5,48840.87,20
I096,O235,P439,10,47414.2,10
I097,O186,P196,2,40364.77,0
I098,O402,P211,7,34796.24,15
I099,O241,P106,8,20844.56,30
I100,O329,P457,3,23762.35,25
I101,O315,P043,3,7524.28,20
I102,O012,P290,4,31418.49,0
I103,O183,P274,1,23596.23,10
I104,O274,P468,3,46640.96,15
I105,O326,P426,5,36430.65,5
I106,O162,P152,4,29427.8,20
I107,O210,P117,2,2388.42,30
I108,O240,P026,2,14198.89,0
I109,O319,P068,3,29846.0,40
I110,O090,P257,4,24881.48,25
I111,O329,P243,6,28321.33,15
I112,O370,P262,4,25399.11,40
I113,O183,P325,3,41121.6,50
I114,O045,P003,7,26264.26,20
I115,O330,P488,6,49206.38,20
I116,O296,P403,4,36144.45,15
I117,O069,P078,1,47929.29,0
I118,O454,P136,1,28899.14,20
I119,O091,P050,8,27274.46,15
I120,O430,P361,3,1860.78,0
I121,O114,P376,5,5748.13,0
I122,O165,P288,2,24054.04,20
I123,O192,P465,6,4202.11,20
I124,O126,P067,6,24773.02,30
I125,O100,P500,6,43518.15,15
I126,O356,P407,3,8176.07,40
I127,O147,P271,-3,18122.55,30
I128,O409,P350,2,19852.28,50
I129,O451,P187,10,44939.5,0
I130,O221,P243,4,17006.49,10
I131,O304,P295,2,31030.91,20
I132,O233,P271,4,42532.52,25
I133,O131,P032,5,21040.15,30
I134,O443,P319,4,13244.12,15
I135,O050,P292,10,10319.01,20
I136,O059,P067,1,27315.74,10
I137,O061,P408,5,38669.01,40
I138,O084,P292,4,18993.42,50
I139,O174,P221,5,43258.84,5
I140,O270,P396,6,30174.32,5
I141,O423,P386,1,15602.32,20
I142,O399,P213,5,22200.1,30
I143,O460,P327,1,29586.08,20
I144,O083,P453,8,20246.63,30
I145,O360,P248,8,37462.29,0
I146,O407,P124,10,38067.96,5
I147,O045,P272,7,10397.14,50
I148,O247,P272,8,28393.22,10
I149,O463,P158,8,8301.34,40
I150,O322,P145,4,46721.97,15
I151,O038,P253,7,22385.4,40
I152,O095,P122,2,30560.17,10
I153,O363,P327,2,9907.67,20
I154,O435,P402,2,43385.23,40
I155,O086,P325,9,11607.05,0
I156,O134,P135,5,46195.43,50
I157,O361,P498,10,33849.05,40
I158,O007,P484,9,47945.31,5
I159,O151,P124,8,42076.21,5
I160,O074,P265,3,12604.72,10
I161,O235,P388,7,17393.31,0
I162,O465,P299,3,4300.08,30
I163,O334,P273,2,2213.19,20
I164,O463,P085,2,29967.63,0
I165,O129,P122,8,44813.92,40
I166,O052,P154,9,28925.86,15
I167,O483,P278,4,15444.04,0
I168,O402,P094,6,22139.25,5
I169,O252,P004,5,44927.61,50
I170,O316,P279,1,33687.94,15
I171,O139,P091,2,45761.04,15
I172,O168,P081,3,9971.6,20
I173,O211,P499,10,39514.04,0
I174,O459,P361,6,49297.37,0
I175,O048,P251,10,31211.76,50
I176,O328,P239,7,40484.62,10
I177,O439,P398,10,16336.08,0
I178,O388,P078,1,27311.23,20
I179,O486,P127,3,43237.63,15
I180,O230,P239,3,49974.02,10
I181,O087,P433,9,23430.42,40
I182,O006,P081,3,35351.37,40
I183,O487,P239,5,143.94,40
I184,O048,P014,9,10447.25,20
I185,O414,P229,4,11419.27,20
I186,O489,P186,1,42235.41,10
I187,O099,P010,4,33644.52,30
I188,O204,P217,2,27322.04,15
I189,O422,P411,9,34132.49,30
I190,O499,P051,6,31884.18,20
I191,O207,P186,6,3344.78,40
I192,O185,P041,5,44148.45,50
I193,O160,P174,7,43934.17,40
I194,O265,P429,5,9270.54,25
I195,O450,P465,2,30105.39,20
I196,O209,P099,2,49848.65,30
I197,O436,P448,9,30196.13,50
I198,O066,P065,6,40793.67,25
I199,O077,P454,10,12813.77,40
I200,O293,P408,1,205.22,50
I201,O338,P281,10,9429.02,5
I202,O245,P424,8,10757.69,40
I203,O298,P360,7,33864.19,15
I204,O419,P114,1,23893.08,0
I205,O390,P472,8,47450.37,20
I206,O499,P295,1,47780.89,50
I207,O414,P005,7,31871.89,5
I208,O105,P264,9,27433.08,10
I209,O458,P321,10,8989.77,50
I210,O444,P309,2,27461.37,30
I211,O353,P348,5,44652.84,20
I212,O254,P401,2,17518.01,20
I213,O192,P067,5,20402.31,20
I214,O161,P482,10,30207.41,0
I215,O293,P229,9,10955.64,30
I216,O252,P273,7,48149.87,30
I217,O319,P210,7,24304.68,5
I218,O259,P376,5,2373.73,20
I219,O372,P035,1,20919.66,40
I220,O073,P321,3,19615.47,15
I221,O492,P166,3,30943.21,40
I222,O171,P272,2,42477.77,40
I223,O133,P293,5,25596.04,5
I224,O360,P044,6,3553.0,25
I225,O190,P315,6,6156.69,25
I226,O030,P250,2,46642.05,25
I227,O412,P435,8,6041.32,20
I228,O496,P008,-5,25956.54,15
I229,O397,P416,10,45652.65,40
I230,O437,P433,7,40533.6,15
I231,O268,P190,1,16142.83,15
I232,O437,P297,5,37983.31,15
I233,O458,P103,2,48108.94,20
I234,O040,P115,6,40364.68,0
I235,O293,P132,7,18979.44,15
I236,O426,P441,9,8502.47,40
I237,O470,P319,7,35579.82,10
I238,O058,P264,10,45631.57,40
I239,O325,P292,2,35179.55,50
I240,O363,P156,9,8515.76,50
I241,O035,P174,6,43609.65,25
I242,O363,P433,9,2685.02,25
I243,O164,P169,5,3412.4,25
I244,O471,P469,5,5649.11,15
I245,O067,P325,8,24305.25,20
I246,O081,P319,10,7791.39,40
I247,O446,P366,1,5603.39,15
I248,O488,P464,9,38179.27,10
I249,O199,P153,6,31436.47,50
I250,O390,P061,5,9879.42,30
I251,O022,P270,3,20762.47,5
I252,O189,P317,7,6532.47,25
I253,O136,P200,4,20899.38,0
I254,O312,P033,10,43860.96,15
I255,O015,P291,8,27211.68,15
I256,O007,P134,9,19731.53,20
I257,O097,P343,4,34112.47,10
I258,O102,P196,2,24948.17,5
I259,O212,P205,1,41749.84,5
I260,O071,P120,3,6778.03,25
I261,O436,P476,10,39718.6,40
I262,O305,P201,-1,27399.67,20
I263,O444,P339,5,37962.5,0
I264,O396,P181,8,29586.67,20
I265,O261,P442,4,34462.89,30
I266,O174,P414,6,1145.99,30
I267,O444,P379,1,20152.28,20
I268,O146,P178,1,47054.52,10
I269,O380,P476,4,41503.41,20
I270,O269,P492,2,15509.32,20
I271,O264,P140,1,42182.86,30
I272,O003,P058,8,30685.59,50
I273,O044,P009,10,38853.29,15
I274,O154,P445,6,15215.1,0
I275,O470,P395,2,187.65,20
I276,O128,P240,1,23195.73,0
I277,O379,P182,3,40154.91,50
I278,O260,P157,4,45492.37,40
I279,O444,P119,8,42175.32,50
I280,O108,P139,8,19655.83,0
I281,O154,P007,1,18610.54,5
I282,O284,P027,5,23683.57,20
I283,O024,P369,8,12953.09,20
I284,O334,P057,10,16314.04,15
I285,O159,P375,3,23522.52,15
I286,O339,P011,3,338.85,30
I287,O351,P157,4,10598.18,5
I288,O381,P413,9,26110.74,30
I289,O396,P416,1,18972.25,15
I290,O359,P253,8,43917.98,50
I291,O051,P169,10,22312.71,10
I292,O323,P005,5,4898.8,15
I293,O324,P482,1,3465.14,5
I294,O245,P165,9,38511.3,10
I295,O302,P341,9,11432.8,20
I296,O409,P435,10,22580.1,15
I297,O373,P334,8,42741.68,25
I298,O348,P398,6,4371.72,20
I299,O259,P286,8,16936.2,40
I300,O397,P387,10,28134.03,25
I301,O008,P201,8,46767.19,5
I302,O444,P461,5,20353.16,40
I303,O422,P284,-2,18342.71,50
I304,O338,P147,4,29156.23,50
I305,O267,P398,3,39446.3,50
I306,O024,P065,7,25675.14,10
I307,O493,P169,1,47168.86,20
I308,O015,P425,3,42236.19,15
I309,O273,P260,5,35624.23,15
I310,O095,P499,1,28980.7,25
I311,O024,P142,10,4377.94,5
I312,O469,P474,4,49199.83,40
I313,O413,P192,9,10410.36,0
I314,O422,P010,7,27587.82,30
I315,O396,P343,6,35011.3,0
I316,O273,P305,10,41111.65,30
I317,O299,P397,2,3526.98,5
I318,O209,P360,7,33349.78,50
I319,O022,P410,8,47633.16,40
I320,O341,P207,3,38434.99,15
I321,O009,P463,10,17646.47,25
I322,O294,P498,8,8144.56,40
I323,O063,P008,5,43985.33,25
I324,O113,P149,6,16054.29,15
I325,O363,P020,2,31356.15,0
I326,O494,P041,6,15428.69,50
I327,O095,P397,6,21463.11,20
I328,O026,P486,10,16156.78,15
I329,O484,P255,10,28182.86,5
I330,O449,P282,1,12099.06,30
I331,O101,P491,9,4578.07,10
I332,O467,P372,6,18547.64,20
I333,O010,P089,7,25590.68,25
I334,O229,P437,8,2288.74,20
I335,O377,P406,5,27844.3,10
I336,O341,P409,1,11431.0,10
I337,O255,P200,-3,1615.06,5
I338,O388,P409,6,18032.51,15
I339,O459,P235,4,7349.02,50
I340,O442,P304,9,9791.83,20
I341,O251,P331,5,10259.68,25
I342,O495,P212,4,9090.57,50
I343,O282,P372,7,21122.92,50
I344,O488,P447,7,4779.48,40
I345,O353,P048,6,1258.46,5
I346,O206,P315,9,31955.62,40
I347,O467,P255,7,29232.26,50
I348,O302,P023,9,5661.73,50
I349,O415,P490,6,12932.15,40
I350,O486,P132,5,6550.51,20
I351,O301,P128,6,12841.27,5
I352,O277,P193,8,47590.79,50
I353,O052,P425,1,3087.37,25
I354,O257,P193,5,16426.37,25
I355,O104,P367,4,30244.63,20
I356,O479,P385,5,28533.57,40
I357,O421,P383,1,40770.52,30
I358,O303,P218,1,10780.91,0
I359,O320,P314,1,20419.3,10
I360,O418,P069,8,18190.87,25
I361,O355,P321,-1,37065.68,50
I362,O415,P232,8,48858.77,10
I363,O077,P056,10,26637.88,15
I364,O078,P354,7,44955.73,5
I365,O427,P316,9,24626.34,30
I366,O171,P295,10,6759.68,10
I367,O319,P078,10,1454.22,0
I368,O173,P378,3,38353.83,30
I369,O022,P286,8,6767.27,15
I370,O431,P171,6,45277.23,40
I371,O290,P195,4,45409.76,30
I372,O396,P385,6,44637.02,40
I373,O268,P381,9,39947.37,5
I374,O088,P327,1,7549.52,15
I375,O007,P354,3,38632.76,0
I376,O160,P404,7,31331.5,50
I377,O336,P375,8,35174.08,10
I378,O307,P005,4,13363.9,0
I379,O445,P297,9,38499.18,50
I380,O469,P176,1,16575.56,50
I381,O435,P461,8,33677.74,30
I382,O348,P056,8,43784.36,20
I383,O344,P264,3,23376.5,15
I384,O325,P428,9,13861.51,0
I385,O464,P479,9,11411.9,30
I386,O009,P320,5,18219.1,25
I387,O379,P051,-3,4937.5,50
I388,O160,P315,3,40169.33,10
I389,O475,P390,2,38787.47,0
I390,O336,P265,10,41238.96,50
I391,O129,P462,1,34235.05,15
I392,O306,P271,2,18885.41,0
I393,O239,P497,6,44524.47,40
I394,O201,P334,4,19597.2,0
I395,O430,P113,3,33921.11,5
I396,O451,P205,6,28157.24,15
I397,O148,P319,4,39352.7,5
I398,O326,P009,10,33409.24,25
I399,O382,P220,2,18695.79,30
I400,O143,P248,7,13093.89,15
I401,O097,P079,6,16362.5,10
I402,O150,P041,7,27378.76,15
I403,O339,P307,10,33584.26,5
I404,O266,P436,6,16607.02,5
I405,O018,P001,8,47412.45,5
I406,O419,P257,6,32673.98,30
I407,O436,P040,8,1565.41,0
I408,O398,P035,2,10368.23,25
I409,O197,P047,5,44493.19,50
I410,O056,P354,6,26400.77,50
I411,O361,P309,6,14877.71,5
I412,O068,P180,7,19399.04,0
I413,O097,P495,8,9076.58,0
I414,O301,P304,-5,108.45,10
I415,O457,P343,-1,24622.11,25
I416,O224,P089,9,4938.8,5
I417,O050,P081,7,17189.46,20
I418,O132,P326,7,27834.34,30
I419,O386,P089,3,3408.34,15
I420,O466,P024,9,42888.16,40
I421,O424,P026,3,14481.66,10
I422,O327,P333,6,14272.14,40
I423,O088,P158,7,4817.5,30
I424,O298,P026,2,37782.8,40
I425,O399,P291,9,25041.52,20
I426,O160,P400,5,6899.17,40
I427,O059,P028,1,47396.28,15
I428,O189,P212,9,4584.13,30
I429,O394,P115,5,45899.46,50
I430,O450,P335,6,27804.1,20
I431,O299,P053,-1,28104.14,20
I432,O115,P287,10,18770.72,40
I433,O414,P328,2,35964.6,50
I434,O004,P092,7,21038.1,0
I435,O493,P281,3,26489.11,5
I436,O474,P135,6,6233.78,10
I437,O412,P368,3,28241.52,50
I438,O068,P372,5,43357.75,40
I439,O183,P238,2,24432.24,40
I440,O136,P486,5,18968.37,5
I441,O157,P434,6,1310.19,5
I442,O254,P493,10,45056.37,15
I443,O456,P164,2,19164.68,15
I444,O243,P480,10,30829.15,10
I445,O256,P111,3,5347.74,0
I446,O320,P473,10,37423.36,40
I447,O242,P354,10,23986.34,30
I448,O406,P209,1,11505.6,25
I449,O403,P418,8,43140.67,0
I450,O348,P362,3,17248.25,15
I451,O233,P348,5,9985.0,5
I452,O165,P377,8,9348.55,15
I453,O457,P257,9,15791.62,20
I454,O103,P179,7,29058.12,0
I455,O467,P469,2,11080.56,25
I456,O179,P034,9,20572.62,50
I457,O107,P232,5,38757.54,25
I458,O185,P198,6,49970.3,50
I459,O190,P044,4,31931.82,40
I460,O436,P435,9,31928.35,20
I461,O011,P063,1,20400.85,50
I462,O028,P025,9,31640.7,30
I463,O408,P476,5,43383.42,30
I464,O220,P260,5,27010.23,0
I465,O491,P202,9,14737.9,15
I466,O287,P186,8,43147.3,15
I467,O128,P364,10,46005.78,5
I468,O051,P186,2,24814.08,50
I469,O153,P340,9,33875.37,40
I470,O003,P116,7,28647.47,5
I471,O323,P090,2,5347.67,50
I472,O189,P391,8,15993.36,25
I473,O241,P210,9,6374.76,20
I474,O346,P051,6,4804.94,50
I475,O023,P058,8,29576.53,30
I476,O066,P367,7,48410.5,25
I477,O436,P402,8,22294.5,0
I478,O108,P401,2,35609.56,5
I479,O388,P186,6,18525.01,30
I480,O427,P433,10,25893.83,10
I481,O141,P398,8,28456.47,30
I482,O063,P013,7,13539.79,25
I483,O227,P416,8,8553.42,0
I484,O022,P061,-3,44942.04,15
I485,O371,P440,8,12954.51,0
I486,O140,P391,4,41270.86,50
I487,O051,P426,8,27960.95,0
I488,O231,P082,-2,22478.41,5
I489,O252,P280,3,27516.57,15
I490,O330,P061,-2,16839.79,50
I491,O117,P401,9,15856.12,15
I492,O119,P277,4,8884.75,25
I493,O272,P217,3,9517.92,30
I494,O121,P274,4,36611.56,15
I495,O196,P466,7,12054.52,0
I496,O177,P322,10,24952.85,30
I497,O156,P481,10,46136.04,25
I498,O222,P002,5,47326.62,30
I499,O203,P240,2,11910.22,40
I500,O062,P432,10,27728.17,30
