transaction_id,product_id,warehouse_id,supplier_id,transaction_type,quantity,unit_price,total_price,transaction_timestamp,channel,reference_id
T65,P1497,W102,S203,IN,19,32227.27,612318.13,2026-01-20 17:47:38.562047,offline,REF3298
T66,P1107,W108,,INVALID,11,49546.67,545013.37,2025-12-29 17:05:59.116493,online,REF6747
T67,P1198,W102,S208,INVALID,86,30543.4,2626732.4,2025-11-19 17:00:26.697582,internal,REF6507
T68,P1319,W105,S208,RETURN,18,34996.53,629937.54,2025-05-02 07:16:38.687289,internal,REF3481
T69,P1255,W108,,RETURN,28,20962.02,586936.56,2025-08-18 19:42:49.235029,internal,REF3577
T70,P1209,W108,S207,TRANSFER,83,26275.12,2180834.96,2025-06-01 15:03:14.309787,internal,REF7207
T71,P1423,W100,S215,INVALID,75,46690.87,3501815.25,2025-07-16 19:17:00.800004,offline,REF3692
T72,P1324,W104,,OUT,70,1838.62,128703.4,2026-01-21 06:09:58.824795,offline,REF8396
T73,P1047,W104,S201,TRANSFER,59,915.99,54043.41,2025-08-04 07:08:07.740943,offline,REF4751
T74,P1025,W103,,RETURN,1,41363.13,41363.13,2026-04-10 15:28:43.894988,internal,REF7778
T75,P1172,W102,S201,RETURN,43,15544.25,668402.75,2026-03-05 05:20:47.729779,online,REF6203
T76,P1193,W102,S207,INVALID,48,9384.49,450455.52,2025-05-25 18:22:12.921086,offline,REF9654
T77,P1040,W106,S209,IN,65,31395.13,2040683.45,2026-02-16 13:45:17.344946,offline,REF8505
T78,P1258,W105,S219,INVALID,6,40468.5,242811.0,2025-12-06 05:03:49.966365,internal,REF6449
T79,P1160,W109,,IN,25,18107.65,452691.25000000006,2026-03-19 22:11:13.353803,online,REF9704
T80,P1235,W101,S218,IN,63,16255.17,1024075.71,2026-02-19 08:44:07.525454,offline,REF5166
T81,P1192,W107,,OUT,93,34711.33,3228153.69,2025-05-29 14:54:06.517279,offline,REF3941
T82,P1096,W109,S216,OUT,67,29880.67,2002004.89,2026-04-08 20:16:53.841064,internal,REF1290
T83,P1048,W105,S219,RETURN,37,28598.66,1058150.42,2025-09-17 08:41:32.074286,online,REF5998
T84,P1448,W104,S216,OUT,24,36103.9,866493.6000000001,2025-05-12 18:43:10.440025,online,REF6509
T85,P1136,W103,S200,RETURN,4,44183.63,176734.52,2025-10-25 14:20:20.988832,online,REF3747
T86,P1171,W100,S211,INVALID,13,4164.36,54136.67999999999,2025-06-16 12:30:51.974706,online,REF5365
T87,P1165,W103,,TRANSFER,18,42818.58,770734.4400000001,2025-09-27 07:33:54.614649,online,REF4354
T88,P1304,W102,S204,TRANSFER,93,17505.31,1627993.83,2025-07-06 05:55:50.093687,internal,REF3678
T89,P1407,W100,,RETURN,46,38958.82,1792105.72,2025-10-14 05:07:27.289794,offline,REF8086
T90,P1148,W104,,INVALID,14,44559.03,623826.4199999999,2026-01-23 21:56:29.781305,offline,REF7303
T91,P1048,W103,S212,OUT,48,14651.54,703273.92,2026-01-21 04:03:37.711560,internal,REF6290
T92,P1065,W107,S206,INVALID,62,42863.82,2657556.84,2026-02-11 19:38:21.779918,internal,REF4657
T93,P1333,W105,S200,TRANSFER,90,1265.79,113921.09999999999,2025-11-20 17:05:53.754412,offline,REF2705
T94,P1139,W101,S200,OUT,16,26026.4,416422.4,2026-01-17 15:28:13.647929,offline,REF4012
T95,P1017,W107,S208,OUT,82,43273.79,3548450.7800000003,2026-03-28 06:27:47.330691,online,REF7230
T96,P1128,W104,S204,IN,99,22101.7,2188068.3000000003,2025-12-19 10:07:36.880391,offline,REF6172
T97,P1154,W103,S200,RETURN,16,22020.74,352331.84,2025-07-20 20:01:22.652081,online,REF8900
T98,P1345,W101,,INVALID,9,9174.38,82569.42,2026-03-22 21:23:11.069036,internal,REF1697
T99,P1446,W105,,OUT,55,42027.29,2311500.95,2026-02-14 21:51:10.415379,online,REF2746
T100,P1283,W104,S201,TRANSFER,65,21105.73,1371872.45,2025-09-13 13:20:03.884010,online,REF5738
T101,P1437,W108,,TRANSFER,31,31531.71,977483.01,2026-03-19 15:37:43.618195,offline,REF9949
T102,P1219,W106,S205,IN,32,26176.15,837636.8,2025-04-29 20:33:07.096774,offline,REF7399
T103,P1119,W109,S207,INVALID,62,7926.96,491471.52,2026-02-13 17:05:54.325855,offline,REF4276
T104,P1321,W109,S213,TRANSFER,34,33095.47,1125245.98,2025-11-27 22:26:24.037916,offline,REF6664
T105,P1129,W109,S206,RETURN,13,15574.14,202463.82,2025-07-24 18:00:44.075905,offline,REF6990
T106,P1165,W103,S215,IN,72,24478.91,1762481.52,2025-10-12 22:04:11.854390,offline,REF3734
T107,P1257,W106,S211,OUT,58,1373.4,79657.20000000001,2025-05-12 03:27:27.789386,offline,REF9859
T108,P1439,W102,S218,INVALID,95,29601.22,2812115.9,2025-07-03 11:03:02.818789,offline,REF8294
T109,P1315,W107,S200,INVALID,9,2861.92,25757.28,2025-09-19 04:59:07.910343,online,REF9819
T110,P1386,W100,S202,INVALID,82,8290.61,679830.02,2025-12-04 01:46:42.756229,internal,REF4161
T111,P1060,W108,S201,OUT,87,44438.5,3866149.5,2025-09-12 23:02:17.715399,offline,REF5970
T112,P1033,W104,,TRANSFER,10,5778.78,57787.799999999996,2025-07-25 02:28:12.784071,offline,REF1232
T113,P1001,W106,S208,RETURN,62,32901.46,2039890.52,2025-07-17 21:34:21.422152,offline,REF6015
T114,P1270,W106,,OUT,7,37069.74,259488.18,2025-07-22 02:15:40.221034,offline,REF1223
T115,P1012,W104,S214,IN,30,21790.28,653708.3999999999,2025-09-03 13:18:14.970383,online,REF3679
T116,P1186,W103,S201,TRANSFER,76,12273.36,932775.3600000001,2026-01-30 02:17:55.407958,internal,REF3930
T117,P1355,W107,,RETURN,96,41758.56,4008821.76,2025-11-06 23:10:05.481095,online,REF8390
T118,P1189,W108,S216,RETURN,80,16385.26,1310820.7999999998,2025-12-31 16:04:39.222471,online,REF5738
T119,P1139,W109,,OUT,46,14339.97,659638.62,2025-05-30 18:28:55.982649,offline,REF8583
T120,P1156,W104,S215,TRANSFER,90,20497.05,1844734.5,2025-09-18 02:24:06.250085,internal,REF6525
T121,P1356,W100,S201,INVALID,69,10380.21,716234.49,2025-05-07 15:17:48.658268,internal,REF2853
T122,P1474,W100,,INVALID,31,11099.57,344086.67,2026-03-22 07:31:02.340280,internal,REF9380
T123,P1153,W107,S207,OUT,23,38017.68,874406.64,2026-02-05 16:10:01.564047,offline,REF3360
T124,P1028,W104,S203,IN,57,47149.14,2687500.98,2025-06-14 19:49:29.668120,internal,REF7651
T125,P1349,W101,S218,RETURN,91,38601.02,3512692.82,2026-02-15 19:32:36.927529,internal,REF2179
T126,P1063,W100,S204,IN,5,4122.02,20610.100000000002,2026-03-15 07:01:41.349464,online,REF6004
T127,P1073,W108,,IN,33,41626.48,1373673.84,2026-01-08 06:02:28.243422,online,REF6045
T128,P1297,W109,S216,IN,27,6542.02,176634.54,2025-11-02 18:41:47.657268,online,REF9729
T129,P1073,W108,S211,INVALID,39,18748.29,731183.31,2025-11-10 10:49:57.955703,offline,REF1187
T130,P1208,W105,S202,OUT,69,10997.88,758853.72,2025-12-03 10:51:05.071768,online,REF7631
T131,P1386,W109,S214,TRANSFER,57,10579.24,603016.6799999999,2025-12-24 19:56:29.710208,offline,REF8153
T132,P1364,W101,S214,IN,83,3181.45,264060.35,2025-07-25 08:15:29.132026,offline,REF3749
T133,P1129,W105,S209,INVALID,24,28898.28,693558.72,2026-03-12 05:22:09.895121,internal,REF1704
T134,P1430,W109,S210,OUT,18,44321.43,797785.74,2026-01-11 11:00:51.557760,internal,REF3413
T135,P1203,W102,,IN,14,9290.9,130072.59999999999,2025-05-18 08:05:59.268592,online,REF3761
T136,P1359,W108,S218,INVALID,12,22999.31,275991.72000000003,2025-09-28 19:58:43.745990,offline,REF6748
T137,P1210,W103,,RETURN,97,10016.0,971552.0,2025-10-19 12:39:31.372823,internal,REF5879
T138,P1450,W108,S206,INVALID,15,37032.52,555487.7999999999,2026-01-26 21:29:52.485946,offline,REF9277
T139,P1041,W108,S217,INVALID,80,23890.24,1911219.2000000002,2025-11-06 10:10:19.227173,internal,REF2024
T140,P1350,W102,,INVALID,13,27006.81,351088.53,2025-08-17 12:21:17.680357,online,REF2987
T141,P1306,W106,S201,RETURN,23,13482.71,310102.32999999996,2025-08-07 07:43:07.423245,online,REF7547
T142,P1058,W109,,IN,19,16572.46,314876.74,2025-07-09 02:37:09.187300,offline,REF6067
T143,P1312,W108,,INVALID,77,32540.15,2505591.5500000003,2026-02-19 19:57:56.604246,offline,REF8894
T144,P1120,W106,S216,RETURN,83,1339.03,111139.48999999999,2025-12-13 21:15:40.286588,offline,REF7250
T145,P1200,W100,S207,INVALID,40,10235.17,409406.8,2026-03-06 12:14:24.629016,online,REF3725
T146,P1487,W103,S204,IN,51,35059.13,1788015.63,2025-04-20 03:26:01.609390,offline,REF4749
T147,P1023,W105,S212,RETURN,29,4604.67,133535.43,2025-09-06 20:09:37.925495,offline,REF6011
T148,P1126,W108,,IN,87,8988.85,782029.9500000001,2025-12-22 07:05:52.330069,internal,REF1761
T149,P1439,W100,,TRANSFER,82,28600.12,2345209.84,2026-04-17 05:59:50.596997,internal,REF9505
T150,P1138,W108,S201,RETURN,50,28302.22,1415111.0,2026-02-22 19:24:31.727328,offline,REF9022
T151,P1276,W108,S202,IN,21,5152.03,108192.62999999999,2025-05-27 00:45:58.469940,internal,REF7527
T152,P1246,W108,S212,TRANSFER,79,39759.81,3141024.9899999998,2025-08-01 12:35:05.679237,online,REF1460
T153,P1466,W109,S214,INVALID,60,17879.3,1072758.0,2025-05-05 21:46:26.550403,offline,REF8263
T154,P1200,W100,,TRANSFER,61,16458.4,1003962.4000000001,2026-02-06 00:01:58.078723,internal,REF2636
T155,P1218,W100,S216,OUT,64,37885.14,2424648.96,2025-11-21 22:37:35.717191,offline,REF3707
T156,P1102,W101,S203,RETURN,36,31685.59,1140681.24,2026-02-02 10:04:10.329732,internal,REF9788
T157,P1316,W100,S216,TRANSFER,93,1865.32,173474.75999999998,2025-05-22 20:27:23.714706,offline,REF2596
T158,P1123,W106,S206,INVALID,21,16665.22,349969.62,2025-11-05 23:09:58.719998,online,REF2497
T159,P1286,W105,S216,IN,68,561.73,38197.64,2025-06-20 17:32:10.156336,offline,REF3105
T160,P1285,W100,S219,INVALID,37,44404.47,1642965.3900000001,2025-10-10 15:51:22.882130,internal,REF6311
T161,P1232,W107,S210,RETURN,51,46143.03,2353294.53,2026-01-22 23:51:01.062593,internal,REF1495
T162,P1069,W101,,RETURN,8,2277.17,18217.36,2025-04-22 17:50:05.560516,offline,REF6464
T163,P1179,W106,S202,IN,56,19235.14,1077167.8399999999,2026-04-02 05:29:32.679648,internal,REF9734
T164,P1237,W105,,INVALID,94,46468.89,4368075.66,2025-09-25 11:46:22.339457,offline,REF4887
T165,P1234,W100,,IN,77,48628.54,3744397.58,2025-12-23 09:03:36.948453,internal,REF4332
T166,P1115,W107,S213,RETURN,80,22465.26,1797220.7999999998,2025-12-15 04:31:03.588834,offline,REF6213
T167,P1085,W104,S218,INVALID,46,18966.14,872442.44,2025-05-21 16:04:41.070100,offline,REF2380
T168,P1414,W107,,IN,82,23135.39,1897101.98,2026-01-15 09:32:59.038016,offline,REF2303
T169,P1264,W103,,OUT,64,5881.66,376426.24,2026-01-08 06:45:38.639354,internal,REF9046
T170,P1296,W101,S213,INVALID,77,48640.42,3745312.34,2026-02-05 07:18:27.445287,online,REF7391
T171,P1481,W103,S202,IN,44,4201.47,184864.68000000002,2025-10-06 23:08:26.839327,online,REF6687
T172,P1005,W107,S206,RETURN,99,7800.75,772274.25,2025-10-05 20:38:22.540903,online,REF7309
T173,P1051,W103,S209,RETURN,57,14794.8,843303.6,2026-03-01 18:00:25.363163,online,REF9545
T174,P1203,W101,S209,IN,4,16958.83,67835.32,2025-10-03 06:32:12.723072,online,REF7963
T175,P1429,W107,S217,RETURN,6,3708.08,22248.48,2026-03-28 03:35:07.254259,internal,REF5826
T176,P1201,W102,,TRANSFER,50,5308.94,265447.0,2026-03-01 11:27:10.488030,offline,REF7676
T177,P1081,W108,,OUT,9,36369.85,327328.64999999997,2026-03-27 06:17:39.812497,online,REF5358
T178,P1077,W103,S201,TRANSFER,93,17412.8,1619390.4,2025-06-21 10:57:44.529370,internal,REF8476
T179,P1011,W107,,IN,99,48275.85,4779309.149999999,2026-04-12 08:05:10.719960,online,REF5804
T180,P1028,W107,S207,TRANSFER,18,35708.02,642744.36,2026-01-30 14:58:31.888938,online,REF6397
T181,P1448,W109,S209,INVALID,83,48820.3,4052084.9000000004,2026-03-06 12:02:27.415621,online,REF5349
T182,P1058,W102,S207,IN,95,37704.2,3581898.9999999995,2025-12-02 15:27:17.928035,internal,REF6874
T183,P1327,W103,S218,INVALID,87,47041.7,4092627.9,2026-04-14 08:45:24.414089,internal,REF4681
T184,P1286,W105,S202,TRANSFER,78,5570.45,434495.1,2026-02-12 13:03:46.933945,offline,REF5898
T185,P1279,W102,S204,TRANSFER,80,28968.55,2317484.0,2026-01-25 00:14:15.427775,online,REF4637
T186,P1486,W105,,OUT,89,11068.15,985065.35,2026-01-19 14:44:28.969543,online,REF3692
T187,P1061,W101,,IN,13,14687.8,190941.4,2025-05-27 08:47:48.927846,internal,REF9228
T188,P1259,W100,S213,TRANSFER,4,10891.1,43564.4,2025-10-15 02:05:28.495380,offline,REF2204
T189,P1061,W108,S202,RETURN,83,20167.47,1673900.01,2026-02-14 17:56:08.665102,online,REF8357
T190,P1172,W104,S218,INVALID,27,35494.96,958363.9199999999,2026-04-01 17:16:40.308751,internal,REF8292
T191,P1335,W108,,TRANSFER,26,29383.03,763958.78,2025-09-09 16:56:33.208424,internal,REF5637
T192,P1447,W107,S216,RETURN,43,41594.58,1788566.9400000002,2025-09-06 08:00:02.135787,internal,REF1084
T193,P1237,W108,S215,TRANSFER,8,43621.12,348968.96,2026-03-15 03:02:01.033151,offline,REF9785
T194,P1471,W105,S207,TRANSFER,3,21764.47,65293.41,2025-12-30 22:54:36.723850,offline,REF4637
T195,P1388,W108,S208,RETURN,73,14188.57,1035765.61,2026-03-27 11:25:07.563711,online,REF1732
T196,P1372,W102,,OUT,28,28376.68,794547.04,2025-10-03 20:46:01.825036,online,REF3540
T197,P1134,W107,S219,INVALID,44,30850.63,1357427.72,2026-04-06 13:15:11.910973,offline,REF5707
T198,P1490,W101,S215,INVALID,77,30730.65,2366260.0500000003,2025-10-17 21:44:12.143493,offline,REF6727
T199,P1052,W100,S211,TRANSFER,28,44207.4,1237807.2,2025-08-28 09:08:47.310954,offline,REF6943
T200,P1021,W103,,IN,6,25238.35,151430.09999999998,2025-06-25 12:39:38.212523,offline,REF2797
T201,P1454,W107,S214,RETURN,57,35076.5,1999360.5,2025-11-05 20:21:12.972705,internal,REF1867
T202,P1179,W104,,TRANSFER,86,8082.47,695092.42,2025-10-13 04:08:55.710425,internal,REF7658
T203,P1227,W101,S201,OUT,26,25699.66,668191.16,2025-10-07 03:46:51.819104,internal,REF6811
T204,P1170,W108,S206,IN,60,7898.65,473919.0,2026-02-27 04:39:36.945472,offline,REF4310
T205,P1331,W109,S207,INVALID,37,47493.21,1757248.77,2026-04-15 13:51:13.146883,internal,REF3555
T206,P1289,W103,,OUT,71,17176.1,1219503.0999999999,2026-03-10 15:56:01.079111,offline,REF2579
T207,P1002,W107,,TRANSFER,29,39783.69,1153727.01,2025-09-27 10:14:25.444955,online,REF3710
T208,P1290,W100,S210,TRANSFER,39,28046.01,1093794.39,2025-08-06 12:41:50.375752,internal,REF2149
T209,P1182,W109,,OUT,71,46279.2,3285823.1999999997,2025-09-08 10:24:40.759138,internal,REF7781
T210,P1345,W104,S217,OUT,92,4052.56,372835.52,2025-08-16 00:21:56.960015,internal,REF6986
T211,P1085,W100,,INVALID,4,6638.07,26552.28,2025-10-31 00:24:19.110495,offline,REF2710
T212,P1027,W101,S200,RETURN,62,39802.99,2467785.38,2025-06-15 17:39:36.058318,offline,REF6343
T213,P1315,W105,S214,INVALID,75,27197.55,2039816.25,2026-02-14 18:33:19.680256,offline,REF9217
T214,P1167,W105,,INVALID,19,37480.73,712133.8700000001,2026-01-17 12:50:55.896200,online,REF6636
T215,P1028,W107,,RETURN,73,13689.76,999352.48,2025-05-21 11:15:08.340111,internal,REF3348
T216,P1185,W108,S217,RETURN,90,8573.98,771658.2,2025-12-04 06:38:50.870327,internal,REF7128
T217,P1422,W104,S216,TRANSFER,27,25421.41,686378.07,2026-03-10 04:07:19.179676,offline,REF9953
T218,P1464,W100,S209,INVALID,94,21780.19,2047337.8599999999,2025-12-10 01:20:24.023497,offline,REF4157
T219,P1176,W101,S208,IN,74,41498.86,3070915.64,2025-10-18 22:54:36.355467,online,REF4786
T220,P1485,W107,S209,RETURN,5,25875.07,129375.35,2025-11-02 18:36:32.628987,internal,REF1849
T221,P1132,W108,,TRANSFER,53,2696.34,142906.02000000002,2026-01-14 23:39:39.259833,offline,REF5580
T222,P1219,W104,,RETURN,78,44738.35,3489591.3,2025-06-12 07:09:18.135557,offline,REF6141
T223,P1176,W103,,INVALID,26,8558.75,222527.5,2025-12-14 14:03:17.732779,online,REF1095
T224,P1367,W103,,RETURN,84,37080.16,3114733.4400000004,2025-10-22 22:10:12.198452,internal,REF8995
T225,P1117,W103,,TRANSFER,54,44278.31,2391028.7399999998,2025-07-05 13:10:59.262327,offline,REF3046
T226,P1402,W109,S205,IN,3,34397.5,103192.5,2025-05-18 15:44:05.975444,online,REF7877
T227,P1049,W104,,IN,72,40530.77,2918215.44,2025-10-03 12:27:52.437569,online,REF1508
T228,P1056,W106,S212,RETURN,29,13804.44,400328.76,2025-09-02 12:32:30.001217,offline,REF1184
T229,P1001,W105,,RETURN,8,41607.65,332861.2,2025-09-30 18:57:38.850459,online,REF1307
T230,P1423,W108,,OUT,93,21726.85,2020597.0499999998,2025-09-14 10:21:17.051870,offline,REF5956
T231,P1235,W101,,TRANSFER,19,27657.22,525487.18,2025-08-28 10:57:29.942607,online,REF5242
T232,P1019,W109,S216,TRANSFER,94,38002.88,3572270.7199999997,2025-05-02 22:11:26.605347,offline,REF7298
T233,P1494,W100,S217,OUT,12,35504.35,426052.19999999995,2025-08-05 20:53:56.469941,internal,REF8990
T234,P1332,W105,S200,INVALID,80,29547.68,2363814.4,2026-01-12 22:40:55.725386,internal,REF7465
T235,P1350,W103,S217,OUT,55,1400.8,77044.0,2025-08-12 04:03:26.629547,offline,REF2611
T236,P1338,W107,S208,OUT,70,48858.86,3420120.2,2026-04-02 10:00:40.359741,offline,REF1515
T237,P1207,W104,S201,RETURN,39,36017.09,1404666.5099999998,2025-06-28 19:19:30.131229,internal,REF9070
T238,P1283,W101,,OUT,53,27542.09,1459730.77,2025-11-20 16:39:05.561455,online,REF1038
T239,P1068,W107,S214,RETURN,82,3346.6,274421.2,2026-03-20 15:59:20.351278,internal,REF3658
T240,P1137,W105,S212,OUT,37,19060.13,705224.81,2025-10-12 22:48:20.168799,offline,REF7789
T241,P1119,W109,S211,IN,23,17447.75,401298.25,2025-11-29 20:08:01.346085,internal,REF7404
T242,P1100,W104,S210,IN,37,33661.94,1245491.78,2026-03-18 21:27:15.083698,internal,REF3166
T243,P1303,W100,S213,OUT,70,29738.82,2081717.4,2025-05-31 23:07:31.964667,online,REF5905
T244,P1336,W100,,TRANSFER,100,14723.06,1472306.0,2025-12-02 02:11:48.904507,online,REF2848
T245,P1444,W103,,IN,75,27516.52,2063739.0,2025-06-19 18:50:41.998176,offline,REF9760
T246,P1082,W101,S215,OUT,68,35769.14,2432301.52,2025-06-04 23:20:48.591912,online,REF8704
T247,P1471,W101,S204,IN,41,865.45,35483.450000000004,2026-01-16 12:26:01.013294,offline,REF6203
T248,P1390,W104,S211,INVALID,5,757.06,3785.2999999999997,2025-11-19 23:07:10.870413,internal,REF3886
T249,P1125,W100,S213,TRANSFER,84,25739.67,2162132.28,2026-02-20 19:10:03.392982,online,REF5516
T250,P1278,W108,S200,TRANSFER,76,41648.44,3165281.4400000004,2025-12-20 03:19:42.095755,online,REF4860
T251,P1460,W106,S211,TRANSFER,9,8127.47,73147.23,2025-12-03 12:49:57.856330,offline,REF8316
T252,P1014,W107,,INVALID,3,3141.25,9423.75,2026-01-13 05:52:22.090728,online,REF7887
T253,P1418,W101,S212,TRANSFER,31,47893.12,1484686.72,2025-08-29 18:05:44.658944,offline,REF6515
T254,P1127,W105,S215,INVALID,93,9582.61,891182.7300000001,2025-07-25 19:31:17.859649,online,REF5868
T255,P1463,W107,,INVALID,13,4491.23,58385.98999999999,2026-01-23 08:55:15.570546,internal,REF7992
