shipment_id,supplier_id,warehouse_id,shipment_status,shipment_date,delivery_date,delay_days,shipping_cost
SHIP58,S211,W102,delayed,2025-08-07,2025-08-12,3,12727.69
SHIP59,S209,W107,delivered,2025-05-18,2025-05-27,0,1297.12
SHIP60,S210,W105,delayed,2026-01-18,2026-01-25,3,10996.42
SHIP61,S219,W103,in_transit,2025-08-04,2025-08-10,1,18012.08
SHIP62,S203,W106,delivered,2025-12-14,2025-12-20,0,4644.2
SHIP63,S201,W107,in_transit,2025-05-19,2025-05-21,2,18419.02
SHIP64,S201,W108,in_transit,2025-05-27,2025-05-31,0,1934.39
SHIP65,S208,W104,in_transit,2025-10-29,2025-11-07,1,13611.72
SHIP66,S218,W104,in_transit,2025-08-09,2025-08-11,5,18920.17
SHIP67,S212,W101,in_transit,2025-06-12,,5,19748.87
SHIP68,S211,W107,delayed,2025-09-06,2025-09-13,2,10146.1
SHIP69,S208,W100,in_transit,2025-07-04,2025-07-07,5,15881.83
SHIP70,S216,W104,delivered,2025-10-30,,5,5403.6
SHIP71,S212,W100,delivered,2025-12-14,2025-12-23,0,18594.6
SHIP72,S201,W101,delivered,2025-10-17,,3,18223.05
SHIP73,S216,W107,delayed,2025-05-01,,4,1303.28
SHIP74,S200,W103,in_transit,2025-05-06,,1,2479.6
SHIP75,S207,W108,delivered,2025-06-23,2025-07-03,4,4300.05
SHIP76,S202,W106,in_transit,2025-10-26,2025-11-04,2,19780.71
SHIP77,S211,W101,in_transit,2026-01-27,2026-02-06,5,4716.44
SHIP78,S214,W100,delivered,2025-05-20,2025-05-29,3,2043.97
SHIP79,S212,W109,delivered,2025-08-07,2025-08-16,4,19010.08
SHIP80,S203,W106,delivered,2025-04-30,2025-05-08,4,7600.86
SHIP81,S207,W103,delayed,2026-03-27,2026-03-29,2,13042.84
SHIP82,S206,W100,delayed,2025-11-27,,1,4318.56
SHIP83,S216,W109,delivered,2026-01-17,2026-01-21,3,17051.82
SHIP84,S207,W100,delivered,2025-08-12,,1,3487.51
SHIP85,S200,W101,delivered,2026-01-02,2026-01-05,3,14099.39
SHIP86,S212,W103,in_transit,2025-09-05,,4,13950.0
SHIP87,S219,W103,delayed,2025-07-11,2025-07-20,1,13765.69
SHIP88,S219,W108,in_transit,2025-11-04,2025-11-09,4,5766.64
SHIP89,S206,W105,delivered,2025-07-11,,2,7877.89
SHIP90,S204,W105,delivered,2025-10-26,2025-11-02,1,19252.15
SHIP91,S214,W101,in_transit,2025-05-11,2025-05-20,4,11318.78
SHIP92,S209,W108,delivered,2025-09-05,2025-09-10,1,11710.26
SHIP93,S203,W100,delayed,2025-11-30,2025-12-10,1,6427.9
SHIP94,S215,W104,delayed,2025-07-25,2025-07-30,4,4913.75
SHIP95,S213,W106,in_transit,2025-08-13,,4,19639.31
SHIP96,S201,W103,in_transit,2026-01-31,2026-02-04,1,14072.51
SHIP97,S207,W102,in_transit,2025-06-18,2025-06-21,0,6367.41
SHIP98,S218,W107,delivered,2025-06-25,2025-07-03,2,17203.33
SHIP99,S218,W103,in_transit,2026-03-19,2026-03-25,5,17493.04
SHIP100,S216,W103,delayed,2025-07-24,2025-07-25,1,15122.23
SHIP101,S208,W104,delivered,2025-07-13,2025-07-17,4,17521.57
SHIP102,S203,W106,delayed,2025-09-22,2025-09-29,0,12550.37
SHIP103,S206,W109,delivered,2026-02-03,2026-02-06,2,4759.14
SHIP104,S205,W107,in_transit,2026-03-23,2026-03-29,5,16200.7
SHIP105,S216,W100,delivered,2025-09-25,,0,8480.95
SHIP106,S202,W107,delayed,2025-12-28,2026-01-07,4,10278.24
SHIP107,S213,W106,in_transit,2025-08-02,2025-08-08,1,9361.0
SHIP108,S208,W102,delivered,2026-04-09,2026-04-11,4,6432.11
SHIP109,S209,W106,in_transit,2026-01-18,2026-01-21,1,10112.41
SHIP110,S219,W107,delivered,2026-03-04,,3,9639.48
SHIP111,S200,W102,delivered,2025-05-28,2025-05-31,2,15850.39
SHIP112,S212,W106,delayed,2025-05-03,2025-05-09,0,10645.08
SHIP113,S213,W108,delayed,2025-10-21,,2,8117.35
SHIP114,S207,W102,delayed,2025-05-08,2025-05-13,4,5317.4
SHIP115,S211,W101,delayed,2026-03-02,2026-03-03,3,12020.56
SHIP116,S209,W109,delivered,2025-10-04,2025-10-13,1,4618.17
SHIP117,S216,W102,delivered,2025-08-07,2025-08-15,2,9086.29
SHIP118,S212,W104,in_transit,2025-10-27,2025-10-30,5,4038.17
SHIP119,S206,W106,in_transit,2025-10-01,2025-10-10,1,16420.08
SHIP120,S203,W108,in_transit,2025-08-08,2025-08-09,3,2046.2
SHIP121,S200,W105,in_transit,2025-05-19,2025-05-28,1,6558.55
SHIP122,S209,W106,delayed,2025-09-02,2025-09-10,0,14930.51
SHIP123,S209,W100,delayed,2025-07-08,,2,4259.64
SHIP124,S215,W109,delayed,2025-08-24,2025-08-27,3,17112.23
SHIP125,S217,W105,delayed,2025-06-10,2025-06-18,5,9044.6
SHIP126,S202,W104,in_transit,2025-11-24,2025-12-01,5,17973.04
SHIP127,S214,W103,in_transit,2026-03-08,2026-03-18,1,6702.8
SHIP128,S214,W102,delivered,2025-09-07,,0,3987.54
SHIP129,S219,W104,in_transit,2025-08-14,2025-08-22,1,1450.48
SHIP130,S204,W103,delivered,2026-02-20,2026-02-28,4,18333.35
SHIP131,S210,W103,delayed,2025-08-23,2025-08-27,5,3341.05
SHIP132,S203,W101,delayed,2026-02-19,2026-02-23,4,7285.85
SHIP133,S209,W106,delivered,2026-02-12,2026-02-13,2,7861.88
SHIP134,S212,W107,delayed,2025-06-01,2025-06-08,0,16643.28
SHIP135,S214,W108,delayed,2025-07-07,2025-07-16,5,4549.87
SHIP136,S201,W103,delivered,2026-02-24,2026-02-27,2,7666.68
SHIP137,S219,W109,delivered,2025-06-17,2025-06-22,1,4312.43
SHIP138,S204,W108,delivered,2025-09-21,2025-09-29,5,1059.28
SHIP139,S210,W103,delivered,2025-10-06,2025-10-07,0,4888.82
SHIP140,S212,W108,delayed,2025-08-28,2025-09-02,5,14796.66
SHIP141,S217,W101,delivered,2025-06-06,2025-06-12,1,9295.69
SHIP142,S208,W101,delayed,2025-12-11,2025-12-20,3,9358.39
SHIP143,S210,W106,delayed,2025-12-28,,3,6689.07
SHIP144,S211,W105,delayed,2026-02-02,2026-02-05,1,4483.22
SHIP145,S206,W109,delayed,2025-08-09,2025-08-18,2,11154.69
SHIP146,S203,W108,delayed,2025-07-31,2025-08-09,4,8366.64
SHIP147,S204,W100,delivered,2026-03-07,2026-03-12,0,17319.05
SHIP148,S217,W103,delayed,2025-11-24,2025-11-29,5,13980.6
SHIP149,S200,W103,in_transit,2025-10-15,2025-10-17,1,5143.66
SHIP150,S205,W103,delayed,2026-01-18,2026-01-26,0,3981.84
SHIP151,S204,W106,delivered,2025-04-26,2025-05-02,1,10694.71
SHIP152,S205,W105,delivered,2026-04-03,2026-04-11,3,14647.54
SHIP153,S207,W100,delivered,2025-10-04,2025-10-13,3,8747.44
SHIP154,S218,W109,in_transit,2025-05-01,2025-05-06,1,14149.28
SHIP155,S208,W101,delayed,2025-11-08,2025-11-17,5,9568.57
SHIP156,S210,W107,in_transit,2025-11-04,2025-11-07,5,12177.95
SHIP157,S214,W100,delivered,2026-01-11,2026-01-14,4,7362.39
SHIP158,S205,W106,in_transit,2025-11-09,2025-11-16,3,13947.13
SHIP159,S210,W105,delayed,2026-03-18,2026-03-24,1,19679.45
SHIP160,S210,W106,delivered,2025-10-14,,5,18774.19
SHIP161,S201,W102,delayed,2026-04-03,,3,17034.55
SHIP162,S209,W107,delayed,2025-08-14,2025-08-23,0,10960.66
SHIP163,S216,W107,delivered,2025-06-20,2025-06-22,3,16052.09
SHIP164,S209,W104,delayed,2026-03-16,2026-03-18,1,18141.03
SHIP165,S203,W106,delivered,2025-12-15,2025-12-24,2,4757.54
SHIP166,S202,W107,in_transit,2026-04-02,,4,14318.71
SHIP167,S204,W107,delayed,2026-04-02,2026-04-03,3,18346.65
SHIP168,S211,W105,in_transit,2025-07-03,,4,6583.94
SHIP169,S203,W101,delivered,2026-01-03,2026-01-11,3,7382.75
SHIP170,S217,W100,delayed,2025-05-26,2025-06-05,2,14129.77
SHIP171,S213,W100,delivered,2026-03-22,,3,16209.92
SHIP172,S219,W100,in_transit,2025-09-21,2025-10-01,5,8562.18
SHIP173,S213,W102,delivered,2025-06-29,2025-07-04,4,18788.37
SHIP174,S205,W102,delivered,2025-05-14,,2,7493.45
SHIP175,S209,W108,delivered,2026-04-10,2026-04-14,3,13789.62
SHIP176,S210,W108,delayed,2025-06-19,2025-06-21,2,8248.22
SHIP177,S215,W102,in_transit,2025-11-05,2025-11-08,1,9062.44
SHIP178,S208,W108,delayed,2025-04-25,2025-04-28,1,3293.46
SHIP179,S209,W106,delivered,2025-04-24,2025-04-26,2,11740.46
SHIP180,S205,W108,delivered,2026-03-26,2026-03-31,3,9141.55
SHIP181,S213,W100,delayed,2025-10-24,2025-10-30,1,16308.86
SHIP182,S218,W109,delivered,2025-08-19,2025-08-20,1,15778.43
SHIP183,S202,W108,delivered,2025-10-19,2025-10-24,1,18066.05
SHIP184,S210,W105,delivered,2026-02-01,2026-02-03,1,14061.41
SHIP185,S202,W104,delayed,2025-08-22,2025-08-26,4,11257.95
SHIP186,S200,W109,delayed,2025-11-11,2025-11-21,3,18362.12
SHIP187,S206,W108,delayed,2025-07-25,2025-07-31,4,10717.22
SHIP188,S219,W103,in_transit,2025-09-28,2025-10-01,2,12372.62
SHIP189,S215,W106,delivered,2026-04-15,2026-04-20,3,12768.86
SHIP190,S205,W100,delivered,2025-10-20,2025-10-21,2,10782.81
SHIP191,S204,W100,delayed,2025-10-26,2025-10-31,0,4971.61
SHIP192,S200,W108,delayed,2025-08-20,2025-08-23,1,17819.51
SHIP193,S213,W102,delayed,2026-02-27,2026-02-28,3,14579.08
SHIP194,S217,W106,delivered,2025-10-28,2025-11-03,2,11313.78
SHIP195,S204,W109,delivered,2025-10-18,2025-10-23,2,6270.77
SHIP196,S204,W106,delayed,2025-11-25,2025-11-28,0,10641.57
SHIP197,S204,W102,delivered,2026-02-12,2026-02-19,3,8058.16
SHIP198,S201,W107,delivered,2026-03-05,2026-03-15,4,5502.07
SHIP199,S207,W104,delayed,2026-04-12,,4,3713.88
SHIP200,S217,W109,delayed,2025-06-28,,5,8223.63
SHIP201,S213,W100,delayed,2026-03-23,2026-03-30,3,6289.61
SHIP202,S216,W104,in_transit,2026-01-23,2026-01-27,2,3918.06
SHIP203,S215,W108,delayed,2025-12-15,2025-12-23,4,11147.81
SHIP204,S200,W104,delayed,2025-07-02,2025-07-12,5,18876.02
SHIP205,S201,W108,delayed,2025-06-16,2025-06-26,4,7116.57
SHIP206,S214,W105,in_transit,2025-10-17,,5,12219.84
SHIP207,S214,W109,delivered,2025-08-06,2025-08-09,5,14257.49
SHIP208,S206,W102,delivered,2025-10-25,2025-11-02,3,8692.0
SHIP209,S207,W104,delayed,2025-09-29,,1,2748.13
SHIP210,S207,W108,delayed,2026-01-24,,4,5994.01
SHIP211,S214,W106,delayed,2026-02-24,2026-03-05,0,18313.57
SHIP212,S201,W100,in_transit,2025-06-08,,4,4069.14
SHIP213,S208,W106,delivered,2026-03-11,2026-03-15,4,3080.66
SHIP214,S209,W101,delayed,2026-01-10,2026-01-11,1,8835.41
SHIP215,S206,W100,delivered,2026-03-08,,0,3421.28
SHIP216,S212,W109,in_transit,2026-03-16,2026-03-24,2,15645.82
SHIP217,S204,W108,delivered,2026-03-12,2026-03-18,0,13206.85
SHIP218,S203,W103,delivered,2026-03-16,2026-03-17,2,9669.69
SHIP219,S213,W100,delivered,2025-07-24,2025-07-31,3,13364.95
SHIP220,S202,W107,in_transit,2025-08-17,2025-08-19,0,16346.8
SHIP221,S217,W106,delayed,2025-09-30,2025-10-06,4,14833.7
SHIP222,S203,W104,in_transit,2026-03-24,2026-03-27,2,16134.56
SHIP223,S201,W102,delayed,2025-10-12,2025-10-13,4,6123.66
SHIP224,S200,W100,delivered,2025-07-04,2025-07-06,3,17376.26
SHIP225,S209,W109,delivered,2025-10-28,2025-11-02,3,9511.96
SHIP226,S210,W105,in_transit,2026-01-20,2026-01-21,0,15838.72
SHIP227,S200,W109,delivered,2025-08-01,2025-08-04,2,4997.87
SHIP228,S211,W105,delayed,2026-03-30,2026-04-06,2,12177.59
SHIP229,S207,W102,delivered,2026-01-12,2026-01-15,5,8091.45
SHIP230,S203,W105,in_transit,2026-01-04,2026-01-14,2,2566.81
SHIP231,S208,W105,delivered,2025-09-24,2025-09-26,4,8154.21
SHIP232,S208,W102,in_transit,2025-09-10,2025-09-11,4,2370.3
SHIP233,S218,W106,delivered,2025-11-17,2025-11-22,1,7853.4
SHIP234,S219,W107,delivered,2025-12-22,,2,1850.81
SHIP235,S211,W104,delayed,2026-01-08,2026-01-13,3,17800.68
SHIP236,S209,W106,in_transit,2025-05-06,2025-05-11,2,18579.11
SHIP237,S213,W106,delayed,2026-03-18,2026-03-24,0,6206.51
SHIP238,S202,W109,delayed,2025-06-29,2025-07-05,1,14609.14
SHIP239,S203,W103,in_transit,2026-02-07,2026-02-13,0,9215.48
SHIP240,S208,W102,delivered,2025-06-02,2025-06-07,5,19357.8
SHIP241,S205,W102,in_transit,2025-10-13,2025-10-19,4,19746.56
SHIP242,S206,W109,in_transit,2025-04-17,2025-04-21,4,18138.0
SHIP243,S200,W105,delayed,2025-07-07,2025-07-12,2,14376.03
SHIP244,S218,W109,in_transit,2025-12-15,2025-12-20,3,2713.35
SHIP245,S210,W102,delayed,2025-11-13,,4,18391.18
SHIP246,S200,W103,delivered,2025-09-09,2025-09-14,1,6984.4
SHIP247,S202,W100,delivered,2025-09-29,2025-10-09,0,12283.99
SHIP248,S216,W107,delayed,2025-09-07,2025-09-12,3,19122.66
SHIP249,S214,W103,delayed,2025-12-09,2025-12-19,1,18828.32
SHIP250,S212,W107,delivered,2025-07-17,2025-07-20,1,5985.6
SHIP251,S219,W107,delivered,2025-06-24,,4,16430.22
SHIP252,S214,W102,delivered,2025-11-16,,2,7210.85
SHIP253,S213,W105,in_transit,2025-07-08,2025-07-12,3,19532.68
SHIP254,S206,W105,in_transit,2025-11-15,2025-11-25,3,8769.13
SHIP255,S219,W106,delivered,2025-11-04,2025-11-14,0,17050.92
SHIP256,S218,W106,delayed,2025-08-19,,2,10407.31
SHIP257,S202,W101,delayed,2025-08-18,2025-08-27,4,14842.58
SHIP258,S200,W102,delivered,2025-05-23,2025-05-24,3,7909.18
SHIP259,S206,W106,in_transit,2025-09-16,2025-09-26,5,2494.11
SHIP260,S215,W104,in_transit,2026-03-25,2026-04-02,4,10309.61
SHIP261,S218,W100,in_transit,2025-10-01,2025-10-09,3,10148.54
SHIP262,S205,W104,in_transit,2026-02-13,2026-02-15,2,12460.93
SHIP263,S207,W103,delayed,2025-12-11,2025-12-15,5,8859.33
SHIP264,S212,W100,delivered,2025-10-12,2025-10-14,5,3552.77
SHIP265,S218,W108,in_transit,2025-05-11,2025-05-17,4,9980.03
SHIP266,S203,W105,in_transit,2025-12-16,2025-12-20,1,8078.58
SHIP267,S207,W100,delayed,2025-07-24,2025-07-27,5,12392.86
SHIP268,S214,W105,in_transit,2025-07-01,2025-07-05,5,18532.13
SHIP269,S202,W101,in_transit,2025-11-15,2025-11-16,5,8132.5
SHIP270,S203,W109,in_transit,2025-09-19,2025-09-24,5,16092.97
SHIP271,S214,W106,delivered,2025-04-30,2025-05-10,3,16432.82
SHIP272,S208,W102,delivered,2025-10-14,,2,7880.09
SHIP273,S211,W102,delivered,2025-07-12,2025-07-17,3,17383.87
SHIP274,S218,W106,delivered,2025-09-18,2025-09-26,0,1490.03
SHIP275,S214,W102,delivered,2025-09-23,2025-09-28,2,3387.83
SHIP276,S203,W102,delivered,2025-10-10,2025-10-11,5,16624.41
SHIP277,S207,W107,delivered,2025-08-06,2025-08-12,3,9429.58
SHIP278,S201,W100,delayed,2026-02-28,,1,18830.91
SHIP279,S202,W108,delivered,2026-02-27,2026-03-01,2,14962.69
SHIP280,S204,W105,in_transit,2025-06-16,2025-06-24,4,12684.85
SHIP281,S215,W102,delivered,2026-01-15,2026-01-16,1,4620.93
SHIP282,S208,W103,delayed,2026-03-12,2026-03-22,3,8185.52
SHIP283,S208,W100,in_transit,2025-08-24,,5,8516.07
SHIP284,S215,W103,delayed,2026-03-11,,5,9007.83
SHIP285,S217,W107,delivered,2025-09-28,2025-09-29,3,14309.65
SHIP286,S209,W103,in_transit,2026-02-16,2026-02-21,3,19871.39
SHIP287,S216,W105,delivered,2025-08-29,2025-09-03,1,19882.08
SHIP288,S210,W100,delayed,2026-03-28,2026-04-04,5,16679.33
SHIP289,S203,W101,delayed,2026-01-06,2026-01-12,1,13242.16
SHIP290,S207,W105,delayed,2025-05-14,,2,5292.03
SHIP291,S200,W104,delayed,2025-06-22,2025-07-01,4,10475.97
SHIP292,S211,W100,delayed,2025-08-25,2025-08-27,3,3146.07
SHIP293,S201,W105,delivered,2025-11-06,2025-11-10,0,2710.16
SHIP294,S215,W104,in_transit,2025-06-15,,4,9897.5
SHIP295,S212,W106,in_transit,2026-03-14,2026-03-23,0,10931.72
SHIP296,S214,W102,delivered,2025-07-31,2025-08-09,1,18435.73
SHIP297,S206,W107,in_transit,2025-06-23,2025-06-30,1,12767.0
SHIP298,S218,W109,delayed,2025-07-24,2025-07-30,4,11725.21
SHIP299,S217,W103,delivered,2025-06-03,2025-06-08,1,7346.95
SHIP300,S206,W104,delayed,2025-07-07,,4,19247.79
SHIP301,S210,W100,in_transit,2025-10-29,2025-10-31,2,2036.71
SHIP302,S218,W106,in_transit,2025-12-15,2025-12-21,3,13712.85
SHIP303,S212,W106,in_transit,2025-09-20,2025-09-28,4,4701.9
SHIP304,S211,W103,delayed,2025-10-21,2025-10-31,3,15378.03
SHIP305,S213,W108,delayed,2026-02-03,2026-02-08,3,5827.89
SHIP306,S202,W100,in_transit,2025-09-13,2025-09-14,4,2594.84
SHIP307,S210,W106,delayed,2025-11-28,2025-12-06,2,4007.07
SHIP308,S201,W102,in_transit,2025-09-12,2025-09-17,0,15546.29
SHIP309,S207,W103,in_transit,2025-07-30,2025-07-31,5,16913.1
SHIP310,S205,W105,delivered,2025-09-13,2025-09-17,0,11518.13
SHIP311,S202,W103,delayed,2025-07-19,2025-07-29,1,3649.96
SHIP312,S218,W109,delivered,2026-01-25,2026-01-29,1,7454.74
SHIP313,S202,W108,in_transit,2025-12-11,,2,1606.73
SHIP314,S214,W108,delayed,2025-07-26,2025-07-27,5,2404.55
SHIP315,S212,W100,delivered,2025-07-06,2025-07-12,3,18143.4
SHIP316,S214,W106,delivered,2025-08-14,,5,13928.49
SHIP317,S216,W101,delivered,2025-12-11,2025-12-12,3,1106.84
SHIP318,S212,W108,delayed,2025-04-26,2025-05-06,0,6962.87
SHIP319,S206,W100,delayed,2026-01-30,2026-02-07,4,14068.24
SHIP320,S205,W105,in_transit,2025-09-16,2025-09-24,2,11539.55
SHIP321,S214,W106,delivered,2025-08-06,2025-08-09,0,12747.81
SHIP322,S201,W103,delayed,2025-09-24,2025-09-30,0,9537.25
SHIP323,S213,W106,delayed,2025-06-23,2025-07-01,3,16033.56
SHIP324,S201,W103,delayed,2026-03-03,2026-03-05,2,12863.96
SHIP325,S208,W109,delayed,2025-08-09,2025-08-18,4,14059.83
SHIP326,S207,W107,delayed,2025-11-24,2025-12-03,2,4800.85
SHIP327,S200,W103,delayed,2025-10-01,2025-10-08,4,2969.79
SHIP328,S214,W106,delayed,2025-09-11,2025-09-19,0,8881.18
SHIP329,S219,W105,delivered,2025-07-01,2025-07-03,2,2130.38
SHIP330,S206,W101,in_transit,2025-10-07,2025-10-17,2,9855.28
SHIP331,S200,W104,delayed,2025-11-16,2025-11-26,2,17603.4
SHIP332,S205,W104,in_transit,2025-06-15,2025-06-23,0,1664.98
SHIP333,S215,W103,delivered,2026-03-14,2026-03-18,3,10932.78
SHIP334,S211,W105,delivered,2025-07-08,2025-07-12,4,5902.92
SHIP335,S206,W109,in_transit,2025-04-27,2025-05-02,4,11403.88
SHIP336,S206,W109,in_transit,2025-09-17,,0,5878.85
SHIP337,S219,W100,delayed,2026-01-20,2026-01-22,0,18405.7
SHIP338,S208,W101,in_transit,2026-01-11,2026-01-14,4,8612.76
SHIP339,S213,W106,delivered,2025-05-12,,5,11578.9
SHIP340,S207,W102,delivered,2025-08-14,2025-08-24,0,2491.17
SHIP341,S202,W104,in_transit,2025-11-25,2025-12-01,0,12407.81
SHIP342,S215,W100,in_transit,2025-04-23,,2,8063.64
SHIP343,S210,W107,in_transit,2025-07-26,,4,3899.63
SHIP344,S200,W108,delayed,2026-01-31,2026-02-05,1,1979.94
SHIP345,S212,W106,delivered,2026-01-25,2026-01-31,2,2859.01
SHIP346,S216,W106,in_transit,2025-08-24,2025-09-01,4,6322.08
SHIP347,S207,W107,delayed,2025-10-13,2025-10-23,3,10302.98
SHIP348,S217,W109,delayed,2026-01-21,2026-01-27,1,12506.47
SHIP349,S219,W106,delivered,2025-10-23,,1,13825.92
SHIP350,S200,W102,in_transit,2025-10-09,2025-10-15,1,13340.27
SHIP351,S201,W106,delivered,2025-11-13,2025-11-22,2,16739.33
SHIP352,S207,W101,in_transit,2026-02-28,2026-03-05,1,15623.92
SHIP353,S211,W102,in_transit,2026-01-23,2026-01-28,5,11143.8
SHIP354,S207,W107,delayed,2026-01-12,2026-01-18,4,1368.51
SHIP355,S214,W106,delivered,2026-03-11,2026-03-17,0,13547.74
SHIP356,S206,W102,delivered,2025-05-16,2025-05-21,0,14662.6
SHIP357,S208,W102,delivered,2025-09-28,,5,15727.63
SHIP358,S200,W103,delayed,2025-05-01,2025-05-06,0,18259.17
SHIP359,S218,W108,delayed,2025-09-08,2025-09-17,3,10579.07
SHIP360,S213,W109,delayed,2025-05-19,2025-05-26,4,16171.91
SHIP361,S205,W108,delayed,2025-11-11,2025-11-17,1,8740.05
SHIP362,S216,W108,delayed,2025-05-10,,0,10177.51
SHIP363,S200,W108,delayed,2026-04-15,2026-04-17,4,4167.27
SHIP364,S210,W108,delayed,2026-04-13,2026-04-19,1,10172.67
SHIP365,S206,W103,in_transit,2026-02-27,2026-03-07,0,18432.5
SHIP366,S204,W100,delivered,2025-06-02,2025-06-10,3,16178.49
SHIP367,S210,W105,delivered,2025-08-07,2025-08-15,2,17251.08
SHIP368,S202,W101,in_transit,2026-04-15,,1,19386.17
SHIP369,S212,W100,in_transit,2025-10-26,2025-11-01,1,1443.94
SHIP370,S209,W102,delayed,2025-05-30,2025-06-09,2,11213.03
SHIP371,S210,W102,delayed,2025-07-23,,0,17375.63
SHIP372,S205,W103,delayed,2025-10-26,2025-10-27,3,17479.71
SHIP373,S216,W101,delayed,2026-03-17,,4,14485.84
SHIP374,S217,W109,delivered,2025-09-22,2025-09-23,4,2122.59
SHIP375,S205,W104,delivered,2025-07-10,2025-07-13,0,18024.29
SHIP376,S206,W108,delivered,2025-04-25,,3,14183.71
SHIP377,S214,W102,in_transit,2025-12-25,2025-12-31,1,7481.83
SHIP378,S200,W107,delayed,2025-06-11,2025-06-13,1,16631.54
SHIP379,S205,W107,in_transit,2025-05-03,2025-05-06,3,12764.01
SHIP380,S209,W101,in_transit,2025-10-24,,5,16636.7
SHIP381,S214,W109,delayed,2025-11-09,2025-11-14,1,10480.08
