product_id,product_name,category,brand,cost_price,selling_price,currency,supplier_id,product_status,launch_date,expiry_date,weight,dimensions,reorder_level,last_updated
P1039,Spend,Grocery>Dairy>Milk,,27130.11,2357.45,INR,S208,discontinued,2023-11-26,,2.21,45x15x9,34,2025-09-15
P1040,Young,Grocery>Dairy>Milk,Dell,38060.53,31950.92,INR,S210,active,2024-10-11,2027-02-10,1.69,43x15x5,65,2025-06-04
P1041,Scene,Electronics>Mobile>Accessories,Nike,36141.17,65863.99,INR,S208,active,2025-04-13,2027-04-12,0.74,5x18x7,121,2025-11-14
P1042,Culture,Grocery>Dairy>Milk,Nike,32802.31,44257.25,INR,S210,active,2024-02-07,2026-12-08,3.31,17x43x2,158,2025-12-21
P1043,Official,Electronics>Mobile>Accessories,Dell,16131.38,25324.53,INR,S202,inactive,2024-12-03,,4.35,7x9x1,105,2025-11-27
P1044,Over,Clothing>Men>Topwear,Dell,35612.64,60714.82,INR,S210,discontinued,2024-07-12,,1.6,34x48x2,177,2025-09-24
P1045,Alone,Electronics>Mobile>Accessories,Nike,14844.82,31738.95,INR,S209,discontinued,2024-05-10,,3.15,46x34x3,93,2025-05-09
P1046,Course,Electronics>Mobile>Accessories,,17862.68,12080.42,INR,S207,discontinued,2023-06-09,,3.09,39x49x6,15,2025-10-18
P1047,Relate,Electronics>Mobile>Accessories,Dell,13397.93,15780.49,INR,S206,active,2025-02-15,,2.88,26x29x7,60,2025-05-11
P1048,Become,Clothing>Men>Topwear,Nike,39869.11,835.44,INR,S203,active,2024-07-15,,0.28,47x35x9,10,2025-12-15
P1049,Event,Electronics>Mobile>Accessories,Nike,30197.64,22937.26,INR,S208,active,2024-07-07,,4.28,16x6x10,118,2026-03-08
P1050,Board,Grocery>Dairy>Milk,Boat,15593.0,63732.13,INR,S204,active,2023-07-08,2026-06-21,0.81,47x44x3,68,2025-06-15
P1051,Food,Electronics>Mobile>Accessories,Boat,10984.06,23693.84,INR,S210,discontinued,2024-05-03,2026-09-06,0.75,29x27x2,41,2025-09-21
P1052,Thought,Electronics>Mobile>Accessories,,44180.23,35450.62,INR,S206,inactive,2023-12-24,2026-12-21,3.26,7x49x1,137,2025-06-22
P1053,Site,Electronics>Mobile>Accessories,Dell,39148.14,57983.94,INR,S210,active,2024-08-06,,1.35,8x35x9,101,2026-04-04
P1054,Money,Electronics>Mobile>Accessories,,42274.16,50994.29,INR,S209,active,2024-01-20,,0.22,33x42x4,20,2025-12-04
P1055,During,Electronics>Mobile>Accessories,,22227.75,43053.19,INR,S210,inactive,2024-10-29,2026-11-20,0.84,37x6x4,193,2025-07-15
P1056,Perhaps,Grocery>Dairy>Milk,Boat,46135.68,38560.02,INR,S207,discontinued,2024-04-08,,3.02,41x48x7,97,2025-10-27
P1057,Performance,Electronics>Mobile>Accessories,,29534.72,57082.61,INR,S210,discontinued,2025-01-16,2026-11-03,3.12,47x29x1,130,2025-05-10
P1058,Source,Electronics>Mobile>Accessories,Nike,23967.46,60320.82,INR,S207,inactive,2024-10-09,,4.78,25x41x7,168,2026-02-05
P1059,Image,Clothing>Men>Topwear,Dell,19517.94,57985.1,INR,S209,inactive,2024-06-20,,3.67,41x23x10,181,2025-08-20
P1060,Develop,Clothing>Men>Topwear,Boat,13211.71,46002.88,INR,S208,inactive,2025-03-06,,3.1,6x46x1,40,2025-09-23
P1061,Offer,Grocery>Dairy>Milk,Nike,41623.71,55295.5,INR,S203,active,2023-07-09,,4.66,39x5x6,91,2025-08-01
P1062,Defense,Grocery>Dairy>Milk,,24761.04,20148.74,INR,S205,inactive,2024-01-24,2026-09-01,3.71,5x27x9,103,2025-09-30
P1063,Natural,Electronics>Mobile>Accessories,Nike,31448.59,40903.04,INR,S208,inactive,2024-01-29,,4.14,6x17x4,74,2025-11-26
P1064,Executive,Electronics>Mobile>Accessories,Dell,2308.66,44041.78,INR,S208,active,2023-04-21,,0.96,50x37x6,185,2026-01-13
P1065,Remain,Electronics>Mobile>Accessories,Nike,214.61,45825.43,INR,S204,active,2024-12-20,,0.58,39x43x1,122,2026-04-07
P1066,Enjoy,Grocery>Dairy>Milk,,19964.52,42691.56,INR,S207,active,2023-07-17,,1.32,32x39x4,51,2025-10-26
P1067,Under,Grocery>Dairy>Milk,Boat,43509.5,67213.03,INR,S201,active,2024-01-27,,0.38,41x27x9,51,2025-06-17
P1068,The,Electronics>Mobile>Accessories,Boat,27869.28,44452.39,INR,S210,discontinued,2024-07-27,2026-10-02,3.77,14x39x10,40,2026-01-29
P1069,Media,Electronics>Mobile>Accessories,Nike,26585.0,68913.23,INR,S201,inactive,2024-03-21,,2.38,16x5x7,19,2025-11-12
P1070,Audience,Grocery>Dairy>Milk,Boat,17160.11,67788.25,INR,S208,active,2023-08-03,2026-10-29,3.8,28x24x10,108,2025-04-25
P1071,According,Clothing>Men>Topwear,Boat,6717.72,14400.06,INR,S210,discontinued,2025-01-31,,2.17,29x13x8,71,2025-10-01
P1072,Official,Grocery>Dairy>Milk,Nike,4839.35,7480.08,INR,S208,discontinued,2024-12-23,,1.8,29x22x2,71,2026-02-24
P1073,Senior,Clothing>Men>Topwear,,20142.21,31374.94,INR,S205,inactive,2024-11-27,2026-07-04,3.59,8x41x6,45,2025-06-26
P1074,Indeed,Grocery>Dairy>Milk,,15190.56,3148.27,INR,S203,active,2023-10-03,,4.22,23x27x1,157,2026-02-17
P1075,Try,Grocery>Dairy>Milk,Nike,25836.18,62990.03,INR,S209,active,2025-01-13,,3.09,35x23x6,141,2026-02-25
P1076,Leader,Grocery>Dairy>Milk,Dell,4693.55,43996.78,INR,S203,discontinued,2024-03-05,,1.37,24x5x1,185,2026-03-19
P1077,Finally,Electronics>Mobile>Accessories,Nike,13328.18,9417.26,INR,S207,active,2024-11-29,2026-09-27,3.38,12x41x7,31,2025-12-24
P1078,Change,Grocery>Dairy>Milk,Nike,12063.99,43027.42,INR,S206,active,2023-09-10,2026-07-05,4.28,7x43x8,130,2026-03-29
P1079,Husband,Grocery>Dairy>Milk,Boat,6875.88,34519.59,INR,S209,active,2024-06-26,2026-06-23,0.57,41x34x5,147,2025-08-05
P1080,Blood,Electronics>Mobile>Accessories,,37353.71,43484.27,INR,S210,inactive,2023-09-26,2027-01-23,2.91,6x32x4,24,2025-06-07
P1081,Professor,Clothing>Men>Topwear,Dell,23562.04,55208.91,INR,S207,inactive,2024-12-15,,3.87,5x35x5,70,2025-06-06
P1082,Listen,Electronics>Mobile>Accessories,,143.22,4103.08,INR,S210,active,2024-05-16,2026-06-23,3.53,13x39x5,171,2025-08-28
P1083,A,Electronics>Mobile>Accessories,Boat,2384.47,49846.98,INR,S206,inactive,2024-12-22,,3.88,29x35x7,130,2025-12-31
P1084,Usually,Clothing>Men>Topwear,Nike,49401.22,7941.49,INR,S204,active,2023-09-18,,1.87,8x34x9,13,2025-10-17
P1085,Power,Grocery>Dairy>Milk,,11756.43,1325.5,INR,S204,inactive,2024-06-25,,0.53,28x10x3,130,2025-11-08
P1086,Window,Grocery>Dairy>Milk,Boat,26062.52,1296.78,INR,S204,inactive,2023-12-07,,1.56,29x20x10,106,2025-11-13
P1087,Democratic,Clothing>Men>Topwear,,32470.31,14953.5,INR,S202,active,2024-01-07,,2.86,50x26x3,106,2026-03-03
P1088,Center,Grocery>Dairy>Milk,Boat,47136.32,18837.26,INR,S210,active,2024-03-04,,4.4,16x9x4,56,2026-02-15
P1089,Get,Grocery>Dairy>Milk,Boat,24959.69,8884.01,INR,S205,discontinued,2023-08-27,,0.7,8x5x7,187,2026-02-02
P1090,Bar,Clothing>Men>Topwear,Dell,11144.04,27063.47,INR,S203,active,2024-07-18,2026-06-18,1.76,46x25x2,54,2025-10-23
P1091,Carry,Clothing>Men>Topwear,Dell,27177.46,30453.49,INR,S208,active,2024-05-06,,1.66,29x32x10,192,2026-01-01
P1092,Without,Clothing>Men>Topwear,Dell,33698.21,64205.88,INR,S201,active,2025-04-11,2027-03-31,3.43,14x23x9,56,2025-04-29
P1093,Very,Clothing>Men>Topwear,,33838.46,60421.26,INR,S208,active,2024-11-10,,2.4,47x41x8,111,2026-04-05
P1094,Throw,Grocery>Dairy>Milk,Dell,45608.87,57129.28,INR,S206,active,2023-04-25,2027-04-14,0.46,8x48x8,58,2026-03-18
P1095,Meet,Grocery>Dairy>Milk,Boat,41835.58,5038.1,INR,S209,inactive,2025-03-03,2027-02-05,4.74,12x21x9,25,2026-01-11
P1096,Decide,Electronics>Mobile>Accessories,Dell,27536.28,65252.29,INR,S210,discontinued,2023-07-14,,4.16,34x36x9,68,2025-10-22
P1097,Affect,Clothing>Men>Topwear,Nike,31857.52,27006.38,INR,S201,discontinued,2023-09-15,2027-03-02,2.02,18x27x7,173,2025-08-19
P1098,His,Electronics>Mobile>Accessories,Dell,23594.88,1491.82,INR,S201,inactive,2024-11-07,,3.86,21x41x3,95,2025-09-16
P1099,Recent,Grocery>Dairy>Milk,,1899.59,61585.19,INR,S207,inactive,2023-08-02,2027-02-19,0.12,17x19x1,99,2025-08-22
P1100,Ago,Electronics>Mobile>Accessories,Nike,17821.4,57662.0,INR,S206,active,2024-10-04,,0.98,8x25x9,133,2025-10-11
P1101,Government,Electronics>Mobile>Accessories,Dell,799.4,63523.12,INR,S209,discontinued,2024-05-30,,4.01,31x43x5,40,2026-01-26
P1102,Eye,Clothing>Men>Topwear,Dell,28335.39,33339.32,INR,S209,inactive,2024-12-07,,2.64,36x14x6,113,2025-08-01
P1103,Have,Electronics>Mobile>Accessories,,8780.97,1769.63,INR,S208,discontinued,2025-03-15,,2.22,49x21x8,179,2025-04-23
P1104,Impact,Clothing>Men>Topwear,Nike,5697.52,41023.32,INR,S201,active,2023-09-25,2027-04-08,4.98,41x15x9,106,2026-04-03
P1105,Garden,Clothing>Men>Topwear,,49234.68,38135.18,INR,S203,discontinued,2024-10-15,,1.28,44x33x4,141,2025-10-07
P1106,Concern,Electronics>Mobile>Accessories,,185.55,16663.37,INR,S201,inactive,2024-10-27,,0.59,32x39x2,152,2025-06-06
P1107,Indeed,Electronics>Mobile>Accessories,Dell,5873.35,46463.39,INR,S203,active,2024-10-27,,3.63,37x27x1,153,2025-07-19
P1108,College,Electronics>Mobile>Accessories,,32360.32,42263.69,INR,S208,active,2024-07-31,,0.94,15x47x4,134,2025-05-03
P1109,Step,Clothing>Men>Topwear,,4486.39,64404.67,INR,S209,discontinued,2024-01-30,,4.31,23x33x3,76,2025-09-19
P1110,Record,Clothing>Men>Topwear,Nike,24960.85,7573.0,INR,S202,active,2024-03-31,,3.03,24x38x9,118,2026-02-27
P1111,Seek,Electronics>Mobile>Accessories,Nike,1085.67,12869.76,INR,S207,active,2025-03-07,2026-06-20,3.5,14x36x4,99,2025-11-26
P1112,Around,Grocery>Dairy>Milk,,28192.75,66378.44,INR,S208,discontinued,2024-11-06,,4.04,19x41x4,106,2026-02-12
P1113,Often,Clothing>Men>Topwear,Boat,13614.57,9107.39,INR,S208,active,2025-03-31,,1.51,10x49x9,92,2026-02-09
P1114,Hot,Clothing>Men>Topwear,Nike,4632.97,20952.59,INR,S203,active,2023-12-29,,3.05,10x35x9,38,2026-03-29
P1115,Cultural,Clothing>Men>Topwear,Boat,3328.3,57946.18,INR,S205,discontinued,2024-07-27,,2.15,5x22x3,58,2025-10-14
P1116,Member,Grocery>Dairy>Milk,Boat,28035.57,35285.02,INR,S206,discontinued,2025-04-02,,0.24,5x18x9,25,2025-06-26
P1117,Doctor,Electronics>Mobile>Accessories,,2505.09,24224.16,INR,S206,active,2023-06-16,2027-03-02,0.77,38x9x9,104,2025-04-27
P1118,Husband,Clothing>Men>Topwear,Dell,33811.18,59164.95,INR,S201,discontinued,2024-06-14,,3.55,6x48x6,182,2026-03-17
P1119,Current,Clothing>Men>Topwear,Dell,17732.24,3173.42,INR,S201,discontinued,2023-09-27,,4.43,46x7x7,154,2026-02-13
P1120,Region,Clothing>Men>Topwear,,1229.07,37646.64,INR,S205,discontinued,2024-05-08,,2.17,34x36x10,41,2025-09-06
P1121,Focus,Grocery>Dairy>Milk,Dell,44638.27,49383.5,INR,S207,discontinued,2025-03-31,,4.26,31x28x8,154,2025-09-24
P1122,Specific,Electronics>Mobile>Accessories,Boat,36908.17,1331.88,INR,S206,inactive,2025-03-09,,2.48,32x27x2,140,2025-08-10
P1123,Attack,Electronics>Mobile>Accessories,Boat,1075.34,66868.83,INR,S209,discontinued,2024-01-17,,1.26,46x19x5,133,2026-03-07
P1124,Design,Grocery>Dairy>Milk,Nike,27881.61,35923.49,INR,S208,active,2023-05-30,2026-06-21,4.12,19x11x6,106,2025-08-05
P1125,Stay,Electronics>Mobile>Accessories,Dell,30619.23,26308.43,INR,S201,inactive,2023-05-28,2027-03-03,2.57,20x6x6,104,2025-06-09
P1126,Already,Clothing>Men>Topwear,Dell,27787.79,30153.6,INR,S210,inactive,2024-05-06,2026-08-07,0.3,36x13x5,114,2025-06-22
P1127,Short,Clothing>Men>Topwear,Nike,16843.27,9349.01,INR,S203,discontinued,2023-09-18,,1.66,19x49x4,63,2026-02-04
P1128,Value,Grocery>Dairy>Milk,Nike,8949.88,62541.98,INR,S203,inactive,2023-06-29,,0.56,45x50x4,120,2025-05-24
P1129,By,Electronics>Mobile>Accessories,Dell,42801.55,55399.05,INR,S201,inactive,2024-11-19,2026-06-18,4.43,32x43x1,93,2026-02-25
P1130,Carry,Electronics>Mobile>Accessories,,17858.81,59135.44,INR,S205,inactive,2024-10-13,2027-03-27,2.4,13x31x9,133,2025-12-21
P1131,Across,Electronics>Mobile>Accessories,Dell,316.03,10100.15,INR,S204,discontinued,2024-01-20,,2.47,33x46x4,104,2026-02-09
P1132,Again,Clothing>Men>Topwear,Boat,49977.18,61705.49,INR,S205,active,2024-05-04,,1.67,11x50x6,44,2025-12-03
P1133,Rock,Clothing>Men>Topwear,Nike,15138.91,36376.59,INR,S207,active,2024-08-08,,2.3,5x22x8,200,2025-08-29
P1134,These,Grocery>Dairy>Milk,Nike,48285.0,48346.73,INR,S201,active,2023-09-15,2026-09-19,0.6,9x6x2,43,2025-08-07
P1135,Early,Clothing>Men>Topwear,Boat,7730.25,57526.16,INR,S209,active,2023-06-29,,1.64,49x15x6,133,2025-07-19
P1136,Attorney,Grocery>Dairy>Milk,Nike,44513.44,60439.78,INR,S201,active,2023-09-20,,1.3,24x49x1,168,2025-08-21
P1137,Between,Grocery>Dairy>Milk,Boat,6988.31,18268.39,INR,S206,active,2024-09-09,2027-03-03,2.68,26x28x7,163,2026-04-14
P1138,Color,Grocery>Dairy>Milk,,34208.31,8820.83,INR,S210,active,2023-05-08,,1.34,33x48x1,92,2025-06-10
P1139,Opportunity,Clothing>Men>Topwear,Dell,4858.66,33191.95,INR,S210,discontinued,2023-07-02,,0.43,26x37x6,62,2025-05-19
P1140,Speak,Grocery>Dairy>Milk,Boat,1348.99,61910.68,INR,S209,discontinued,2024-10-20,2026-11-12,3.46,24x39x9,193,2025-11-29
P1141,Discover,Electronics>Mobile>Accessories,,25188.72,14241.29,INR,S206,inactive,2024-04-23,2026-12-30,2.27,28x14x7,10,2026-02-03
P1142,Director,Electronics>Mobile>Accessories,Nike,19070.22,25501.2,INR,S201,active,2024-06-22,,0.68,5x20x5,128,2025-12-21
P1143,Describe,Clothing>Men>Topwear,Nike,48666.93,50302.9,INR,S209,discontinued,2023-07-10,,3.21,15x49x8,174,2025-08-26
P1144,Out,Electronics>Mobile>Accessories,Boat,28660.68,20879.57,INR,S202,inactive,2024-04-21,,1.41,12x42x6,76,2026-02-09
P1145,Strategy,Electronics>Mobile>Accessories,Boat,36223.05,22929.55,INR,S206,discontinued,2025-03-28,,3.26,43x13x4,95,2025-12-23
P1146,Report,Grocery>Dairy>Milk,Boat,18844.58,20625.93,INR,S201,inactive,2024-07-14,,0.34,48x19x7,108,2026-01-30
P1147,Chair,Electronics>Mobile>Accessories,Nike,8541.2,16574.04,INR,S201,discontinued,2024-03-07,2026-10-31,3.16,5x19x8,96,2025-05-11
P1148,Risk,Clothing>Men>Topwear,,27065.07,31802.9,INR,S207,discontinued,2025-02-26,,4.09,38x5x6,12,2025-09-26
P1149,North,Grocery>Dairy>Milk,Nike,33024.68,39755.96,INR,S204,inactive,2023-08-12,,1.87,20x28x5,76,2025-10-21
P1150,Late,Clothing>Men>Topwear,,5901.19,43201.63,INR,S203,discontinued,2023-11-25,,0.65,27x22x9,91,2025-07-02
P1151,At,Electronics>Mobile>Accessories,Nike,45029.74,16277.47,INR,S208,active,2024-05-08,2027-01-31,3.18,21x14x6,163,2025-12-24
P1152,Whose,Clothing>Men>Topwear,Dell,30293.17,48397.25,INR,S209,inactive,2023-09-02,,1.64,31x22x5,168,2026-03-28
P1153,Eye,Clothing>Men>Topwear,,34413.11,16116.54,INR,S208,inactive,2024-09-01,,3.19,6x39x6,34,2025-12-23
P1154,Long,Electronics>Mobile>Accessories,Dell,12468.52,27094.31,INR,S208,active,2023-05-22,2027-03-29,2.37,13x28x9,140,2025-05-26
P1155,Nor,Electronics>Mobile>Accessories,Boat,25161.98,37142.05,INR,S209,inactive,2023-06-08,,0.61,40x42x6,136,2026-01-08
P1156,Property,Clothing>Men>Topwear,,20525.66,48416.59,INR,S208,discontinued,2024-08-19,2026-05-23,2.55,28x35x10,154,2025-10-23
P1157,Stay,Clothing>Men>Topwear,Dell,48503.95,21513.25,INR,S208,inactive,2023-07-24,,4.94,34x36x3,189,2025-12-21
P1158,Trip,Electronics>Mobile>Accessories,Boat,770.72,51313.56,INR,S202,inactive,2025-02-06,,3.67,16x49x6,95,2025-05-19
P1159,Happy,Clothing>Men>Topwear,,28397.04,16319.67,INR,S210,active,2025-02-07,,1.41,8x37x7,124,2025-09-17
P1160,Man,Electronics>Mobile>Accessories,Dell,31510.45,20625.2,INR,S204,inactive,2024-10-13,2026-05-21,1.56,33x35x3,34,2026-02-15
P1161,Analysis,Grocery>Dairy>Milk,Boat,15487.43,44312.71,INR,S205,active,2023-06-11,,4.49,34x32x5,73,2025-06-10
P1162,During,Electronics>Mobile>Accessories,,37045.31,56449.17,INR,S204,active,2023-05-07,,2.47,43x40x9,17,2025-10-23
P1163,Enter,Clothing>Men>Topwear,,4401.57,9789.29,INR,S208,discontinued,2024-08-01,,1.79,44x8x6,129,2025-05-06
P1164,Reveal,Electronics>Mobile>Accessories,Nike,982.92,32036.52,INR,S206,active,2024-08-20,,0.7,46x46x9,146,2025-11-09
P1165,Sister,Grocery>Dairy>Milk,Boat,13607.82,16812.81,INR,S204,inactive,2023-07-26,,0.79,13x49x6,87,2025-04-27
P1166,Poor,Grocery>Dairy>Milk,,18632.64,33514.67,INR,S202,discontinued,2024-03-02,2027-03-19,4.61,50x42x4,87,2025-12-06
P1167,Movement,Grocery>Dairy>Milk,Boat,5438.53,16242.62,INR,S204,discontinued,2023-08-15,2027-01-02,3.57,41x31x7,146,2025-04-18
P1168,Box,Grocery>Dairy>Milk,Boat,17545.14,28420.87,INR,S208,inactive,2024-06-25,,1.48,18x12x5,69,2025-12-14
P1169,Source,Electronics>Mobile>Accessories,Dell,20392.98,51824.92,INR,S201,inactive,2024-09-12,,0.97,32x28x4,123,2025-12-04
P1170,Claim,Grocery>Dairy>Milk,Dell,11085.89,39937.08,INR,S209,active,2023-08-06,,4.86,14x50x3,27,2025-11-16
P1171,Perhaps,Clothing>Men>Topwear,Boat,32645.51,29160.99,INR,S206,active,2025-03-03,,1.48,31x9x9,195,2026-01-12
P1172,Recently,Grocery>Dairy>Milk,Boat,21359.32,63722.12,INR,S206,inactive,2024-01-27,,3.61,43x28x1,157,2025-06-04
P1173,Guy,Electronics>Mobile>Accessories,Nike,2863.02,26187.03,INR,S210,discontinued,2024-12-03,,4.31,9x41x9,12,2025-09-23
P1174,Prove,Grocery>Dairy>Milk,Dell,34706.11,39484.88,INR,S206,discontinued,2024-05-19,,0.34,26x17x10,54,2026-03-19
P1175,Cold,Grocery>Dairy>Milk,Dell,24839.32,31532.06,INR,S201,active,2024-06-19,,0.27,21x14x2,40,2025-08-28
P1176,Matter,Electronics>Mobile>Accessories,,45007.49,56959.5,INR,S203,active,2025-04-02,,4.06,14x30x7,70,2025-12-01
P1177,Card,Clothing>Men>Topwear,,20330.49,19927.18,INR,S210,inactive,2024-08-08,,1.48,6x45x4,145,2025-12-16
P1178,Away,Electronics>Mobile>Accessories,Nike,36836.38,38439.26,INR,S205,inactive,2024-11-01,,3.27,5x5x6,124,2026-03-04
P1179,That,Clothing>Men>Topwear,Boat,40250.72,28092.47,INR,S204,discontinued,2023-07-07,,4.05,45x35x7,91,2025-10-06
P1180,Accept,Electronics>Mobile>Accessories,,8589.46,61736.04,INR,S201,inactive,2023-11-02,2026-06-13,4.98,12x23x4,72,2025-08-05
P1181,Them,Electronics>Mobile>Accessories,,608.02,11487.63,INR,S203,inactive,2023-10-06,,1.08,39x16x8,166,2025-09-29
P1182,Address,Clothing>Men>Topwear,,29148.47,2247.22,INR,S201,discontinued,2023-09-17,,4.03,41x7x6,177,2025-04-23
P1183,Training,Clothing>Men>Topwear,,48189.02,64401.48,INR,S204,inactive,2024-11-09,2027-01-21,4.13,28x30x5,98,2025-09-09
P1184,Majority,Clothing>Men>Topwear,,44677.26,12858.59,INR,S210,discontinued,2024-07-28,,2.38,23x21x9,19,2025-06-10
P1185,Less,Electronics>Mobile>Accessories,Boat,1587.52,57309.34,INR,S203,active,2024-06-15,,3.85,32x40x5,16,2025-12-20
P1186,Where,Clothing>Men>Topwear,,22901.78,9108.93,INR,S207,inactive,2025-02-11,2027-01-26,3.13,24x31x10,109,2026-04-08
P1187,From,Electronics>Mobile>Accessories,Nike,38938.43,64969.82,INR,S209,discontinued,2024-04-02,2027-01-06,2.17,28x6x6,103,2025-10-16
P1188,Run,Electronics>Mobile>Accessories,Boat,28258.84,60623.42,INR,S204,active,2024-10-27,,0.22,46x15x2,38,2026-04-06
