inventory_id,product_id,warehouse_id,batch_id,stock_quantity,reserved_quantity,damaged_quantity,last_restock_date,last_updated
I50,P1168,W105,B57,1853,114,7,2026-04-03,2026-03-05
I51,P1008,W103,B81,1429,165,20,2025-08-19,2026-03-14
I52,P1437,W102,B62,3454,109,49,2025-11-24,2026-01-21
I53,P1378,W106,B97,17,165,19,2026-02-20,2026-01-19
I54,P1250,W104,B37,2476,162,3,2026-03-21,2026-01-09
I55,P1199,W101,B3,4154,172,26,2025-07-20,2025-10-06
I56,P1306,W102,B33,-10,172,43,2025-12-21,2025-09-01
I57,P1243,W108,B13,3124,42,27,2025-09-11,2025-05-14
I58,P1038,W105,B48,3819,80,17,2025-10-09,2026-01-28
I59,P1014,W100,B85,1572,60,4,2025-08-05,2026-02-05
I60,P1081,W109,B21,-10,113,9,2025-11-21,2025-05-16
I61,P1270,W107,B15,1796,87,11,2025-12-30,2025-10-06
I62,P1072,W103,B28,-10,15,29,2025-11-12,2026-01-03
I63,P1044,W105,B93,-10,113,29,2025-08-14,2025-07-14
I64,P1177,W100,B21,-10,80,47,2026-04-14,2025-08-26
I65,P1153,W109,B39,-10,164,0,2026-03-17,2025-09-08
I66,P1163,W107,B90,252,128,42,2025-10-21,2025-12-06
I67,P1061,W106,B81,2738,5,16,2025-06-06,2025-05-20
I68,P1200,W106,B24,3325,43,13,2025-06-25,2025-10-04
I69,P1397,W107,B48,-10,40,44,2026-03-12,2025-07-26
I70,P1110,W109,B19,-10,100,29,2025-12-02,2025-05-26
I71,P1126,W103,B5,-10,67,8,2026-03-31,2025-04-17
I72,P1185,W107,B46,-10,147,18,2025-09-06,2026-02-05
I73,P1468,W102,B82,-10,190,27,2025-09-16,2025-10-19
I74,P1421,W100,B27,2984,6,26,2025-12-25,2025-10-06
I75,P1018,W107,B15,1970,93,3,2026-01-23,2025-10-18
I76,P1357,W108,B21,-10,28,43,2025-08-28,2026-03-02
I77,P1223,W102,B13,4430,90,6,2025-12-09,2026-01-19
I78,P1223,W103,B18,3104,180,44,2025-05-07,2026-01-20
I79,P1049,W107,B57,3506,156,17,2025-07-16,2025-12-19
I80,P1011,W108,B16,-10,53,14,2025-12-06,2025-07-19
I81,P1453,W105,B50,-10,91,42,2025-09-23,2026-03-10
I82,P1460,W104,B13,565,33,5,2025-12-01,2025-12-04
I83,P1235,W109,B27,2779,121,9,2025-04-28,2025-08-03
I84,P1413,W103,B33,123,195,15,2026-03-04,2025-08-22
I85,P1224,W107,B76,-10,181,7,2026-02-11,2025-11-06
I86,P1094,W109,B60,-10,196,34,2026-01-07,2025-06-20
I87,P1157,W103,B8,-10,24,15,2025-05-02,2025-12-24
I88,P1178,W101,B47,-10,148,0,2025-05-11,2026-04-07
I89,P1434,W102,B6,2092,114,38,2025-05-23,2026-02-19
I90,P1321,W105,B60,-10,134,6,2026-04-07,2026-02-10
I91,P1401,W105,B26,-10,183,50,2025-05-10,2025-08-21
I92,P1101,W108,B60,451,195,31,2025-10-05,2025-06-14
I93,P1201,W101,B88,-10,112,48,2025-05-05,2026-01-14
I94,P1238,W105,B35,1924,15,19,2025-07-20,2026-01-09
I95,P1379,W103,B93,3012,37,31,2025-07-18,2026-03-26
I96,P1111,W101,B94,-10,93,44,2025-09-15,2026-02-09
I97,P1272,W105,B39,-10,99,15,2025-05-01,2025-09-27
I98,P1058,W105,B10,-10,120,28,2025-05-18,2026-02-05
I99,P1486,W104,B27,-10,39,50,2026-02-24,2025-12-21
I100,P1129,W102,B92,4364,151,7,2025-07-17,2025-10-25
I101,P1254,W109,B4,-10,41,47,2025-07-19,2025-06-19
I102,P1117,W106,B43,-10,55,5,2026-02-04,2025-09-28
I103,P1306,W104,B31,923,177,13,2025-10-13,2025-06-14
I104,P1498,W108,B78,2540,165,32,2025-12-01,2025-05-17
I105,P1210,W108,B63,-10,64,8,2025-06-10,2025-07-26
I106,P1004,W109,B84,1731,73,32,2025-12-16,2026-03-20
I107,P1316,W107,B10,1189,135,1,2025-09-06,2025-11-27
I108,P1313,W103,B42,-10,110,35,2026-02-22,2025-05-03
I109,P1358,W100,B96,-10,113,10,2025-06-28,2025-07-28
I110,P1013,W105,B54,1782,154,18,2025-10-06,2025-11-23
I111,P1397,W105,B40,-10,17,23,2025-09-18,2025-08-07
I112,P1074,W104,B100,-10,91,6,2026-01-04,2026-02-07
I113,P1376,W106,B70,-10,149,50,2026-03-05,2025-10-13
I114,P1328,W105,B28,1988,166,44,2025-08-30,2026-04-14
I115,P1425,W100,B40,327,192,30,2026-01-15,2026-03-17
I116,P1168,W108,B52,1213,11,16,2026-01-17,2025-08-20
I117,P1232,W103,B11,-10,129,35,2025-09-08,2025-09-03
I118,P1439,W100,B50,2213,76,46,2025-07-10,2025-12-05
I119,P1133,W106,B2,2841,15,41,2025-05-06,2026-01-15
I120,P1331,W102,B6,124,89,36,2025-09-22,2025-05-25
I121,P1117,W104,B20,-10,68,7,2025-07-27,2026-04-14
I122,P1181,W101,B27,1538,59,50,2025-12-10,2025-04-30
I123,P1426,W100,B53,3233,148,27,2025-06-14,2025-05-10
I124,P1201,W101,B49,113,35,4,2026-02-09,2025-12-23
I125,P1488,W104,B28,1312,31,22,2026-01-12,2025-07-12
I126,P1346,W108,B4,3833,178,39,2025-07-15,2026-03-16
I127,P1317,W109,B46,2752,30,42,2025-12-08,2025-10-25
I128,P1049,W104,B14,-10,35,37,2025-11-12,2025-12-26
I129,P1174,W107,B11,-10,164,36,2025-08-06,2025-08-15
I130,P1365,W103,B80,1519,12,34,2025-08-27,2025-11-09
I131,P1062,W108,B30,349,53,20,2025-12-03,2025-07-04
I132,P1149,W101,B66,-10,1,39,2025-06-19,2025-12-21
I133,P1293,W104,B43,-10,57,16,2026-03-22,2025-09-21
I134,P1097,W102,B9,4480,25,5,2026-02-06,2025-08-30
I135,P1384,W103,B46,-10,114,47,2026-01-12,2026-02-03
I136,P1189,W109,B90,2169,122,15,2026-04-03,2025-11-14
I137,P1159,W100,B85,4025,159,21,2025-12-08,2025-10-12
I138,P1295,W108,B29,-10,123,13,2026-02-20,2025-10-19
I139,P1348,W103,B39,715,149,9,2025-05-23,2026-01-13
I140,P1114,W101,B48,3810,35,18,2025-10-30,2025-10-14
I141,P1149,W107,B93,-10,189,28,2026-03-14,2026-03-12
I142,P1161,W106,B26,-10,140,30,2026-01-31,2026-02-08
I143,P1122,W102,B100,3435,64,10,2025-07-07,2026-03-21
I144,P1235,W100,B76,-10,77,1,2026-03-06,2025-06-05
I145,P1073,W105,B60,3475,171,26,2025-07-20,2025-07-15
I146,P1494,W101,B66,178,30,0,2025-09-16,2025-12-30
I147,P1188,W103,B96,581,65,40,2025-08-15,2026-01-22
I148,P1415,W104,B79,1127,9,8,2025-11-01,2025-06-25
I149,P1020,W106,B25,744,176,45,2025-07-23,2025-09-04
I150,P1472,W100,B64,662,136,48,2026-01-14,2026-03-18
I151,P1337,W103,B62,-10,31,1,2025-04-26,2025-08-13
I152,P1022,W107,B46,3634,196,38,2025-08-29,2025-05-23
I153,P1039,W105,B29,2543,49,33,2026-02-13,2026-02-03
I154,P1432,W100,B55,-10,199,0,2025-11-23,2025-06-23
I155,P1458,W105,B1,3131,67,8,2026-03-10,2026-02-13
I156,P1197,W105,B20,-10,68,41,2025-05-21,2025-12-20
I157,P1140,W101,B4,-10,194,36,2025-11-28,2025-06-16
I158,P1006,W103,B7,-10,147,48,2026-02-23,2026-01-11
I159,P1447,W101,B75,720,192,0,2025-12-23,2026-04-14
I160,P1281,W101,B72,1809,34,31,2026-01-05,2025-10-31
I161,P1127,W100,B9,-10,69,27,2026-02-22,2025-05-17
I162,P1163,W105,B94,-10,162,41,2025-04-29,2026-01-24
I163,P1350,W109,B58,2783,145,24,2025-05-18,2025-11-15
I164,P1183,W105,B16,3282,191,41,2025-05-15,2025-08-28
I165,P1312,W106,B79,2113,185,23,2025-12-03,2025-07-15
I166,P1168,W101,B64,-10,27,30,2026-04-03,2025-11-10
I167,P1155,W103,B97,-10,42,44,2026-02-16,2025-05-07
I168,P1343,W100,B47,-10,46,32,2026-01-13,2025-07-09
I169,P1355,W107,B44,-10,96,42,2025-10-26,2025-11-24
I170,P1260,W107,B61,-10,139,34,2026-01-04,2025-09-16
I171,P1114,W108,B42,1470,158,24,2025-04-22,2025-11-04
I172,P1080,W105,B62,-10,177,29,2025-05-11,2025-10-15
I173,P1402,W109,B93,-10,181,15,2025-10-31,2025-12-05
I174,P1439,W106,B71,313,71,15,2025-05-04,2025-06-11
I175,P1361,W103,B67,4681,117,5,2026-04-01,2026-03-29
I176,P1337,W100,B42,1255,21,33,2025-10-05,2025-06-28
I177,P1391,W102,B22,-10,20,48,2026-01-12,2025-12-01
I178,P1444,W101,B44,-10,24,31,2025-10-30,2025-05-13
I179,P1483,W102,B32,3579,54,28,2025-05-13,2025-09-09
I180,P1117,W104,B18,2602,125,46,2025-05-28,2025-10-01
I181,P1386,W106,B97,-10,181,22,2026-02-10,2025-08-30
I182,P1132,W103,B75,-10,20,13,2025-10-05,2025-08-18
I183,P1193,W100,B84,1209,60,31,2026-01-11,2026-03-09
I184,P1311,W103,B71,3661,133,5,2026-02-10,2025-04-29
I185,P1338,W101,B94,-10,163,10,2025-10-15,2026-02-06
I186,P1379,W108,B86,4445,123,7,2025-06-19,2026-03-25
I187,P1404,W101,B46,-10,171,4,2026-02-06,2025-04-18
I188,P1283,W107,B80,3576,174,11,2026-02-08,2025-09-07
I189,P1241,W101,B77,4754,154,4,2026-02-02,2025-11-19
I190,P1192,W100,B87,2130,180,2,2025-10-26,2025-11-21
I191,P1432,W107,B8,3424,182,33,2025-06-04,2026-02-27
I192,P1094,W107,B22,-10,102,3,2025-05-29,2025-04-27
I193,P1446,W100,B62,-10,66,31,2025-12-04,2025-05-19
I194,P1139,W107,B99,1242,90,46,2025-07-19,2025-07-14
I195,P1369,W108,B71,-10,47,16,2025-08-18,2025-08-10
I196,P1253,W104,B43,-10,30,1,2025-09-16,2025-11-19
I197,P1137,W103,B25,2431,70,35,2025-10-01,2025-07-20
I198,P1019,W105,B86,-10,97,31,2026-01-08,2025-08-01
I199,P1434,W107,B97,512,100,17,2025-05-01,2025-05-03
I200,P1438,W109,B1,1884,55,11,2026-01-08,2025-09-06
I201,P1425,W100,B45,-10,105,30,2025-04-25,2025-11-01
I202,P1240,W106,B97,-10,40,12,2025-06-13,2025-06-12
I203,P1161,W106,B78,3353,20,50,2025-04-16,2026-03-15
I204,P1495,W106,B49,1867,182,2,2025-04-30,2026-03-14
I205,P1275,W103,B68,-10,107,13,2025-05-08,2025-06-25
I206,P1089,W106,B26,-10,17,39,2026-02-09,2026-03-05
I207,P1357,W104,B76,-10,196,35,2025-05-12,2026-04-15
I208,P1035,W103,B33,-10,185,3,2025-11-06,2025-11-01
I209,P1027,W108,B75,-10,66,12,2025-12-21,2025-06-23
I210,P1294,W105,B91,-10,198,18,2025-10-16,2025-12-08
I211,P1468,W109,B98,-10,20,13,2026-03-24,2025-08-31
I212,P1314,W107,B94,2670,55,43,2025-08-21,2025-11-01
I213,P1010,W105,B74,2731,86,47,2026-01-11,2025-08-19
I214,P1203,W109,B5,-10,103,33,2025-08-18,2025-09-05
I215,P1219,W106,B44,1530,103,30,2026-02-19,2025-12-26
I216,P1110,W100,B62,-10,141,3,2025-07-23,2025-04-22
I217,P1326,W109,B81,4691,60,47,2025-06-24,2026-03-05
I218,P1153,W103,B26,-10,103,21,2025-11-18,2025-10-10
I219,P1495,W105,B47,-10,72,3,2025-06-10,2026-03-26
I220,P1181,W101,B45,1486,55,37,2026-01-30,2026-03-25
I221,P1128,W107,B14,2997,141,32,2025-07-11,2026-01-17
I222,P1277,W106,B34,-10,75,35,2026-02-18,2025-04-24
I223,P1022,W101,B33,-10,110,31,2026-03-17,2026-01-01
I224,P1460,W107,B95,2356,8,5,2025-04-23,2026-03-22
I225,P1437,W101,B60,2864,159,43,2025-07-15,2026-02-23
I226,P1017,W103,B91,-10,190,35,2025-12-12,2026-03-06
I227,P1099,W108,B69,-10,88,9,2026-02-17,2026-03-29
I228,P1449,W101,B49,4404,19,40,2026-01-25,2026-04-06
I229,P1445,W108,B86,-10,119,36,2025-09-14,2026-03-30
I230,P1231,W101,B68,4195,196,24,2025-09-07,2026-02-14
I231,P1263,W108,B86,991,185,34,2025-12-10,2026-02-08
I232,P1239,W105,B76,-10,50,26,2026-02-02,2025-10-03
I233,P1266,W104,B85,3415,193,23,2025-10-24,2026-03-01
I234,P1466,W107,B47,-10,126,32,2026-01-28,2025-08-08
I235,P1021,W100,B31,1427,188,14,2025-09-27,2025-09-30
I236,P1227,W102,B98,-10,154,45,2025-09-14,2026-01-25
I237,P1477,W106,B11,4385,145,22,2025-08-12,2025-05-23
I238,P1217,W104,B60,438,11,5,2025-07-06,2025-08-30
I239,P1396,W100,B4,-10,185,31,2025-05-03,2026-02-08
I240,P1177,W109,B37,-10,126,34,2025-11-10,2025-09-17
I241,P1223,W105,B63,-10,69,19,2025-10-17,2025-10-17
I242,P1003,W108,B40,4177,195,22,2025-07-15,2026-01-29
I243,P1458,W109,B88,-10,135,45,2026-03-25,2026-02-13
I244,P1350,W100,B94,-10,197,5,2025-12-03,2025-06-11
I245,P1281,W109,B15,-10,194,31,2025-11-03,2026-04-14
I246,P1272,W105,B67,1821,32,32,2025-11-11,2025-09-02
I247,P1247,W100,B89,4752,120,14,2026-01-03,2025-06-05
I248,P1149,W103,B23,-10,12,34,2025-08-11,2025-04-30
I249,P1299,W103,B3,2182,30,49,2025-09-12,2026-02-08
I250,P1250,W105,B37,2190,118,35,2025-05-15,2025-04-22
I251,P1334,W104,B7,-10,52,40,2025-10-18,2026-01-18
I252,P1158,W104,B17,-10,170,10,2025-06-27,2025-09-30
I253,P1205,W106,B17,-10,110,24,2025-04-22,2025-09-03
I254,P1458,W103,B67,4448,199,32,2025-11-09,2025-07-09
I255,P1029,W105,B86,-10,197,21,2025-10-21,2025-08-13
I256,P1206,W102,B37,-10,52,11,2026-02-22,2025-08-02
I257,P1396,W104,B82,-10,175,29,2025-05-25,2026-02-19
I258,P1462,W102,B15,2480,97,13,2026-04-08,2026-01-19
I259,P1047,W106,B70,-10,96,32,2026-02-27,2026-01-05
I260,P1251,W103,B87,-10,113,44,2025-07-31,2026-03-31
I261,P1253,W107,B1,-10,173,19,2025-11-21,2026-01-28
I262,P1199,W104,B38,3179,105,50,2025-06-11,2026-02-04
I263,P1307,W100,B56,1310,0,9,2025-06-05,2025-08-23
I264,P1391,W104,B55,-10,157,14,2025-10-09,2025-11-09
I265,P1105,W109,B88,1849,133,33,2025-05-01,2025-12-13
I266,P1142,W106,B97,4099,36,30,2025-07-13,2026-02-03
I267,P1022,W107,B58,4404,68,14,2026-03-24,2025-08-08
I268,P1376,W100,B84,1050,92,3,2026-02-17,2025-11-12
I269,P1394,W104,B2,1307,199,28,2026-03-21,2025-07-06
I270,P1011,W100,B21,2410,198,25,2025-12-07,2025-06-11
I271,P1035,W104,B35,4435,57,5,2026-02-07,2025-12-03
I272,P1322,W102,B3,597,160,20,2025-08-17,2025-12-30
I273,P1368,W104,B78,-10,70,14,2026-04-16,2025-12-13
I274,P1132,W106,B76,3407,123,2,2026-03-10,2025-06-01
I275,P1063,W101,B76,1541,1,28,2025-06-28,2026-01-30
I276,P1185,W101,B58,4097,95,14,2025-11-06,2025-05-09
I277,P1172,W105,B2,898,38,32,2025-09-28,2026-02-04
I278,P1403,W109,B9,1522,183,13,2025-06-27,2025-08-10
I279,P1261,W105,B40,-10,39,18,2025-09-30,2025-07-28
I280,P1145,W107,B40,2021,151,0,2026-02-14,2025-05-06
I281,P1331,W108,B64,-10,43,15,2025-12-28,2025-07-31
I282,P1124,W102,B51,-10,186,20,2026-04-05,2026-04-04
I283,P1054,W106,B88,2834,91,10,2025-11-08,2025-08-20
I284,P1353,W102,B42,-10,71,27,2025-08-11,2025-12-28
I285,P1019,W102,B36,-10,144,28,2026-03-25,2025-06-12
I286,P1236,W103,B4,-10,13,23,2025-09-27,2025-09-17
I287,P1327,W100,B19,-10,51,9,2026-03-25,2025-09-19
I288,P1466,W106,B24,3091,168,36,2025-10-12,2025-06-29
I289,P1051,W106,B99,-10,78,23,2025-06-11,2025-10-24
I290,P1167,W108,B98,761,91,6,2025-06-09,2026-03-24
I291,P1170,W105,B47,815,117,50,2026-01-07,2026-01-11
I292,P1498,W101,B52,3269,158,24,2025-07-26,2025-04-16
I293,P1010,W102,B36,-10,197,44,2025-05-15,2025-05-06
I294,P1013,W103,B55,163,60,28,2025-07-22,2026-03-15
I295,P1309,W104,B25,-10,3,31,2025-06-19,2025-05-12
I296,P1047,W103,B96,1474,48,37,2026-03-02,2025-10-20
I297,P1213,W100,B52,248,92,41,2026-02-07,2026-01-19
I298,P1052,W104,B74,386,96,13,2025-12-12,2025-08-29
I299,P1043,W108,B53,-10,81,34,2025-10-10,2025-05-10
I300,P1459,W104,B11,1593,90,39,2025-07-25,2025-08-17
I301,P1172,W106,B46,1430,167,33,2026-02-14,2025-06-06
I302,P1167,W101,B28,-10,117,0,2025-05-04,2025-06-08
I303,P1135,W100,B14,-10,3,19,2025-10-06,2026-03-03
I304,P1122,W105,B40,718,90,44,2025-04-20,2025-09-23
I305,P1142,W108,B20,-10,170,32,2025-08-27,2025-11-13
I306,P1118,W104,B82,-10,9,7,2025-12-09,2025-05-04
I307,P1164,W100,B21,1872,53,46,2025-10-24,2025-11-17
I308,P1472,W106,B27,-10,167,36,2026-03-02,2025-11-14
I309,P1277,W101,B50,488,144,7,2026-01-04,2026-03-31
I310,P1237,W104,B86,-10,106,12,2025-12-22,2026-04-10
I311,P1247,W100,B26,1311,140,9,2026-02-25,2025-07-21
I312,P1014,W100,B30,-10,86,38,2026-01-14,2025-09-07
I313,P1267,W109,B56,3478,149,2,2026-03-17,2026-04-06
I314,P1339,W109,B67,1003,183,25,2026-03-04,2026-03-28
I315,P1296,W103,B76,-10,189,19,2026-02-27,2026-01-02
I316,P1002,W105,B76,-10,27,23,2026-01-25,2025-09-02
I317,P1225,W107,B1,-10,6,11,2025-05-04,2026-02-12
I318,P1473,W103,B28,-10,111,8,2025-05-23,2025-06-03
I319,P1493,W100,B5,3604,67,23,2025-09-11,2025-10-16
I320,P1340,W107,B21,-10,133,29,2026-01-17,2025-04-16
I321,P1196,W100,B81,113,87,29,2025-08-14,2025-12-08
I322,P1163,W106,B14,4167,0,25,2025-05-30,2026-02-09
I323,P1060,W102,B45,1550,92,44,2025-08-16,2026-04-08
I324,P1354,W109,B20,-10,117,49,2025-04-16,2025-07-11
I325,P1371,W105,B84,-10,78,29,2025-10-01,2026-02-11
I326,P1397,W106,B58,-10,120,6,2025-09-11,2025-06-10
I327,P1421,W106,B61,-10,55,8,2025-12-05,2025-10-12
I328,P1137,W109,B100,1464,63,44,2025-05-04,2025-05-01
I329,P1282,W102,B70,-10,0,38,2026-01-30,2026-03-12
I330,P1280,W107,B57,2755,20,13,2025-06-01,2025-09-23
I331,P1268,W108,B48,-10,69,26,2025-12-08,2025-05-21
I332,P1318,W107,B51,-10,36,23,2025-08-31,2026-03-28
I333,P1122,W109,B73,3598,146,25,2025-07-20,2026-01-18
I334,P1393,W109,B96,2757,169,8,2026-02-25,2026-02-01
I335,P1184,W105,B86,-10,13,2,2026-03-20,2026-01-22
I336,P1482,W109,B23,-10,12,39,2025-08-12,2026-01-10
I337,P1406,W109,B14,-10,37,0,2026-04-01,2025-10-03
I338,P1430,W108,B68,1723,134,46,2025-07-06,2025-11-16
I339,P1021,W107,B3,-10,73,18,2025-05-04,2026-01-14
I340,P1059,W104,B11,-10,82,42,2025-07-23,2026-03-20
I341,P1446,W103,B64,-10,43,41,2026-02-25,2025-09-03
I342,P1354,W106,B90,4691,148,35,2025-05-13,2025-11-13
I343,P1134,W104,B15,1147,56,50,2025-12-15,2026-03-07
I344,P1127,W106,B24,-10,160,24,2025-09-29,2025-06-16
I345,P1392,W100,B50,-10,96,7,2025-07-14,2025-08-10
I346,P1124,W102,B98,4308,184,48,2026-02-25,2025-08-24
I347,P1461,W106,B65,2790,57,5,2026-04-09,2026-03-25
I348,P1339,W104,B66,-10,140,6,2026-02-17,2025-10-06
I349,P1222,W101,B77,-10,167,16,2025-08-09,2026-02-19
I350,P1109,W102,B89,4266,193,5,2025-06-25,2025-08-01
I351,P1206,W100,B86,-10,198,35,2025-07-01,2025-12-02
I352,P1040,W108,B92,-10,127,10,2025-07-17,2025-08-14
I353,P1295,W107,B4,-10,103,22,2025-08-11,2025-07-17
I354,P1111,W101,B56,4893,128,42,2026-02-28,2026-02-25
I355,P1234,W106,B2,1714,48,37,2026-01-08,2025-07-18
I356,P1402,W106,B63,4097,119,15,2025-10-13,2025-12-16
I357,P1344,W108,B30,656,107,28,2025-12-18,2025-10-14
I358,P1103,W107,B61,-10,52,12,2025-09-17,2025-05-25
I359,P1164,W102,B46,4253,133,25,2025-07-07,2025-05-10
I360,P1019,W108,B26,1559,83,21,2025-06-30,2025-12-01
I361,P1205,W102,B47,179,124,6,2025-12-10,2025-08-10
I362,P1374,W102,B48,-10,155,2,2026-02-24,2025-07-02
I363,P1025,W100,B14,-10,157,43,2025-08-28,2025-12-31
I364,P1255,W109,B52,3035,115,9,2026-02-27,2025-10-09
I365,P1049,W107,B96,1755,46,33,2025-08-20,2025-06-21
I366,P1055,W101,B64,-10,86,28,2026-02-13,2025-08-17
I367,P1309,W106,B50,4204,196,0,2025-07-28,2025-10-24
I368,P1412,W101,B28,2314,34,42,2026-03-09,2026-01-13
I369,P1121,W109,B7,4639,106,14,2026-01-16,2025-10-02
I370,P1114,W106,B73,1523,20,34,2025-10-27,2025-07-25
I371,P1292,W102,B7,1406,191,11,2026-03-01,2025-05-22
I372,P1484,W105,B56,4982,112,38,2025-05-20,2025-06-11
I373,P1481,W100,B34,-10,161,48,2025-06-27,2026-03-23
I374,P1017,W106,B14,2980,108,21,2026-03-04,2025-10-03
I375,P1321,W105,B59,1533,82,41,2025-10-25,2026-03-17
I376,P1344,W104,B98,-10,106,43,2025-09-10,2026-04-16
I377,P1474,W107,B68,3691,117,5,2026-02-05,2026-04-05
I378,P1395,W101,B49,-10,173,29,2025-10-02,2025-04-18
I379,P1200,W101,B90,3582,151,6,2025-05-23,2026-02-01
I380,P1062,W104,B97,3262,57,35,2025-06-14,2025-09-01
I381,P1255,W100,B46,-10,185,20,2026-02-07,2025-11-12
I382,P1361,W107,B53,-10,70,6,2025-10-29,2025-09-23
I383,P1016,W103,B54,-10,18,22,2025-08-26,2026-03-24
I384,P1379,W100,B70,1602,90,21,2025-05-18,2026-03-16
I385,P1373,W109,B82,-10,82,13,2026-04-04,2026-03-30
I386,P1453,W108,B30,-10,174,18,2025-08-27,2025-05-28
I387,P1405,W100,B69,-10,190,29,2026-03-06,2025-06-04
I388,P1382,W105,B5,666,75,41,2025-09-17,2026-03-25
I389,P1381,W103,B46,-10,136,8,2025-11-01,2026-02-14
I390,P1399,W106,B19,2050,62,45,2025-07-06,2025-10-05
I391,P1020,W109,B99,-10,110,30,2026-02-16,2025-07-19
I392,P1310,W106,B39,1262,50,31,2025-09-30,2026-02-10
I393,P1350,W102,B6,-10,140,15,2025-05-07,2025-12-23
I394,P1029,W106,B30,4129,108,31,2025-10-25,2026-02-27
I395,P1258,W107,B22,799,147,28,2025-07-17,2026-01-29
I396,P1066,W107,B13,-10,135,12,2026-02-13,2025-08-30
I397,P1061,W103,B44,-10,189,17,2025-05-10,2025-08-14
I398,P1366,W107,B33,151,199,24,2026-02-10,2025-04-28
I399,P1479,W100,B98,682,167,36,2025-10-05,2025-07-03
I400,P1223,W107,B44,-10,155,30,2026-02-17,2025-06-21
I401,P1379,W100,B40,-10,19,36,2026-03-02,2025-06-02
I402,P1327,W103,B91,313,147,41,2025-12-03,2026-02-13
I403,P1300,W106,B99,835,64,20,2025-09-17,2025-11-07
I404,P1150,W106,B12,1114,198,27,2026-01-14,2025-09-19
I405,P1007,W101,B14,576,149,2,2025-08-11,2025-06-30
I406,P1131,W104,B66,2002,76,34,2025-10-22,2026-01-27
I407,P1198,W105,B8,-10,67,47,2025-07-23,2025-12-05
I408,P1347,W100,B95,4434,196,9,2026-03-01,2025-12-04
